sample,pair,open_date,close_date,profit_ratio,is_win,risk_pct,compression_high,false_break_3h,false_break_6h,hit_half_r_6h,hit_1r_12h,max_favorable_r,max_adverse_r
full_20221001_20260507,BNB/USDT:USDT,2023-12-20 18:00:00+00:00,2023-12-21 13:00:00+00:00,0.049990193538432315,True,0.03137311862882459,259.5,True,True,False,False,0.03295081455407402,0.7542075331266347
full_20221001_20260507,BNB/USDT:USDT,2023-12-22 06:00:00+00:00,2023-12-22 07:00:00+00:00,-0.027639513576545056,False,0.02669517314139474,273.0,True,True,False,False,0.10615355258909173,1.4357948459166128
full_20221001_20260507,BNB/USDT:USDT,2023-12-26 04:00:00+00:00,2023-12-26 10:00:00+00:00,0.04998646517762596,True,0.028123747090382754,268.27,True,True,True,True,2.338284105119573,0.9395125809571384
full_20221001_20260507,BNB/USDT:USDT,2024-01-05 01:00:00+00:00,2024-01-05 14:00:00+00:00,-0.03561307039971338,False,0.035239895309730415,323.1,True,True,False,False,0.07753973359392645,0.8712329617294684
full_20221001_20260507,XRP/USDT:USDT,2024-02-19 08:00:00+00:00,2024-02-19 17:00:00+00:00,-0.018607875592647413,False,0.01705332443383257,0.5633,True,True,False,False,0.0519854545742608,1.0189149096553893
full_20221001_20260507,ZEC/USDT:USDT,2024-02-26 06:00:00+00:00,2024-02-27 08:00:00+00:00,0.050005422500280054,True,0.036575271564381534,28.27,True,True,False,False,0.4988510885823747,0.6907168918832876
full_20221001_20260507,XRP/USDT:USDT,2024-02-27 10:00:00+00:00,2024-02-27 19:00:00+00:00,0.04998654636411826,True,0.027917988775164923,0.5616,True,True,True,True,2.2076842109187433,0.534424996303093
full_20221001_20260507,BNB/USDT:USDT,2024-02-28 08:00:00+00:00,2024-02-28 16:00:00+00:00,0.04999642567901785,True,0.017532443997230692,397.84,False,False,True,True,3.0444118810285126,0.2636779953138022
full_20221001_20260507,XRP/USDT:USDT,2024-02-28 17:00:00+00:00,2024-02-28 17:00:00+00:00,-0.04824728359351689,False,0.0473217362845178,0.5933,True,True,False,False,0.17533967854974145,3.0824715489044507
full_20221001_20260507,ZEC/USDT:USDT,2024-03-02 01:00:00+00:00,2024-03-02 13:00:00+00:00,0.049891577381860744,True,0.04386818462981984,29.74,False,False,True,True,1.3498878509435117,0.4423361319475929
full_20221001_20260507,BNB/USDT:USDT,2024-03-02 01:00:00+00:00,2024-03-03 07:00:00+00:00,-0.02174611293396551,False,0.018946448405005364,408.9,False,False,True,False,0.7574646166535436,0.4418543597145683
full_20221001_20260507,BNB/USDT:USDT,2024-03-08 13:00:00+00:00,2024-03-08 15:00:00+00:00,-0.038374664682981625,False,0.037425678709095266,477.28,True,True,True,False,0.5312549823261862,1.019119505362902
full_20221001_20260507,ZEC/USDT:USDT,2024-03-09 10:00:00+00:00,2024-03-09 20:00:00+00:00,-0.050972246118593606,False,0.04926971413257947,35.54,True,True,False,False,0.028514251371287196,1.0436216001891738
full_20221001_20260507,BNB/USDT:USDT,2024-03-12 03:00:00+00:00,2024-03-13 07:00:00+00:00,0.05000493525972572,True,0.038059709036546124,527.54,False,False,True,False,0.8699151781399322,0.5578535082102556
full_20221001_20260507,BNB/USDT:USDT,2024-03-24 21:00:00+00:00,2024-03-25 17:00:00+00:00,0.04999121387032803,True,0.030246641035808042,565.32,False,False,True,True,1.2566496863290517,0.16348081567521125
