pair,open_date,enter_tag,baseline_profit_abs,winner_profit_abs,delta_abs,baseline_exit_reason,winner_exit_reason,direction
ETH/USDT:USDT,2023-08-17 15:00:00+00:00,short_pullback_restart,33.951,33.951,0.0,roi,roi,same
ETH/USDT:USDT,2023-08-24 15:00:00+00:00,short_pullback_restart,-3.347,-3.362,-0.015,stale_loss_72h,stale_loss_72h,worsened
ETH/USDT:USDT,2023-10-12 10:00:00+00:00,short_pullback_restart,-6.989,-6.989,0.0,stop_loss,stop_loss,same
ETH/USDT:USDT,2023-11-10 00:00:00+00:00,long_1d_center_compression,-7.591,-7.591,0.0,stop_loss,stop_loss,same
ETH/USDT:USDT,2023-12-05 00:00:00+00:00,long_1d_center_compression,-7.241,-7.288,-0.047,stop_loss,stop_loss,worsened
ETH/USDT:USDT,2024-01-29 14:00:00+00:00,short_pullback_restart,-6.196,-6.234,-0.038,stop_loss,stop_loss,worsened
ETH/USDT:USDT,2024-05-10 15:00:00+00:00,short_pullback_restart,-1.149,-1.149,0.0,stale_loss_72h,stale_loss_72h,same
ETH/USDT:USDT,2024-07-04 02:00:00+00:00,short_compression_breakdown,21.492,21.492,0.0,roi,roi,same
ETH/USDT:USDT,2024-07-07 08:00:00+00:00,short_pullback_restart,0.086,0.086,0.001,trailing_stop_loss,trailing_stop_loss,improved
ETH/USDT:USDT,2024-09-03 09:00:00+00:00,short_pullback_restart,23.672,23.672,0.0,partial_exit,partial_exit,same
ETH/USDT:USDT,2025-01-28 17:00:00+00:00,short_pullback_restart,0.045,0.045,0.0,trailing_stop_loss,trailing_stop_loss,same
ETH/USDT:USDT,2025-02-01 20:00:00+00:00,short_compression_breakdown,32.575,32.575,0.0,roi,roi,same
ETH/USDT:USDT,2025-02-09 22:00:00+00:00,short_pullback_restart,-11.739,-11.739,0.0,stop_loss,stop_loss,same
ETH/USDT:USDT,2025-02-26 13:00:00+00:00,short_pullback_restart,0.001,0.001,0.0,trailing_stop_loss,trailing_stop_loss,same
ETH/USDT:USDT,2025-04-05 13:00:00+00:00,short_pullback_restart,37.726,37.629,-0.096,partial_exit,partial_exit,worsened
ETH/USDT:USDT,2025-06-11 00:00:00+00:00,long_1d_center_compression,-12.588,-12.528,0.06,stop_loss,stop_loss,improved
ETH/USDT:USDT,2025-06-22 14:00:00+00:00,short_pullback_restart,0.013,0.013,0.0,trailing_stop_loss,trailing_stop_loss,same
ETH/USDT:USDT,2025-07-10 00:00:00+00:00,long_1d_center_compression,62.028,61.751,-0.277,roi,roi,worsened
ETH/USDT:USDT,2025-08-08 00:00:00+00:00,long_1d_center_compression,66.084,65.693,-0.391,roi,roi,worsened
ETH/USDT:USDT,2025-09-13 00:00:00+00:00,long_1d_center_compression,-14.037,-13.936,0.1,stop_loss,stop_loss,improved
ETH/USDT:USDT,2025-10-29 16:00:00+00:00,short_compression_breakdown,0.027,0.027,0.0,trailing_stop_loss,trailing_stop_loss,same
ETH/USDT:USDT,2025-10-30 13:00:00+00:00,short_compression_breakdown,-0.012,-0.012,0.0,trailing_stop_loss,trailing_stop_loss,same
ETH/USDT:USDT,2025-11-06 13:00:00+00:00,short_pullback_restart,0.33,0.33,0.0,trailing_stop_loss,trailing_stop_loss,same
ETH/USDT:USDT,2025-11-20 16:00:00+00:00,short_pullback_restart,26.246,26.076,-0.17,partial_exit,partial_exit,worsened
ETH/USDT:USDT,2026-01-25 04:00:00+00:00,short_pullback_restart,0.035,0.035,0.0,trailing_stop_loss,trailing_stop_loss,same
ETH/USDT:USDT,2026-02-17 15:00:00+00:00,short_pullback_restart,-18.804,-18.741,0.062,trailing_stop_loss,trailing_stop_loss,improved
ETH/USDT:USDT,2026-03-27 11:00:00+00:00,short_pullback_restart,-0.172,-0.171,0.001,trailing_stop_loss,trailing_stop_loss,improved
ETH/USDT:USDT,2026-06-05 03:00:00+00:00,short_pullback_restart,53.589,53.416,-0.173,roi,roi,worsened
ETH/USDT:USDT,2026-06-09 15:00:00+00:00,short_pullback_restart,-0.088,-0.088,0.0,trailing_stop_loss,trailing_stop_loss,improved
LINK/USDT:USDT,2023-06-19 11:00:00+00:00,short_compression_breakdown,-6.64,-6.64,0.0,trailing_stop_loss,trailing_stop_loss,same
LINK/USDT:USDT,2023-08-21 11:00:00+00:00,short_pullback_restart,0.053,0.053,0.0,trailing_stop_loss,trailing_stop_loss,same
LINK/USDT:USDT,2023-09-01 18:00:00+00:00,short_pullback_restart,-8.065,-8.083,-0.018,stop_loss,stop_loss,worsened
LINK/USDT:USDT,2024-02-12 00:00:00+00:00,long_1d_center_compression,-0.021,-0.022,-0.0,trailing_stop_loss,trailing_stop_loss,worsened
LINK/USDT:USDT,2024-04-27 17:00:00+00:00,short_compression_breakdown,-8.534,-8.552,-0.018,stop_loss,stop_loss,worsened
LINK/USDT:USDT,2024-04-28 23:00:00+00:00,short_pullback_restart,18.86,18.902,0.042,partial_exit,partial_exit,improved
LINK/USDT:USDT,2024-05-11 21:00:00+00:00,short_pullback_restart,0.077,0.078,0.0,trailing_stop_loss,trailing_stop_loss,improved
LINK/USDT:USDT,2024-06-13 16:00:00+00:00,short_compression_breakdown,0.102,0.103,0.0,trailing_stop_loss,trailing_stop_loss,improved
LINK/USDT:USDT,2024-06-15 21:00:00+00:00,short_pullback_restart,-7.896,-7.937,-0.041,trailing_stop_loss,trailing_stop_loss,worsened
LINK/USDT:USDT,2024-07-11 04:00:00+00:00,short_pullback_restart,-8.712,-8.756,-0.044,stop_loss,stop_loss,worsened
LINK/USDT:USDT,2024-07-25 19:00:00+00:00,short_compression_breakdown,-7.778,-7.815,-0.036,stop_loss,stop_loss,worsened
LINK/USDT:USDT,2024-07-31 20:00:00+00:00,short_pullback_restart,-0.012,-0.012,-0.0,trailing_stop_loss,trailing_stop_loss,worsened
LINK/USDT:USDT,2024-10-09 21:00:00+00:00,short_compression_breakdown,-9.8,-9.768,0.032,trailing_stop_loss,trailing_stop_loss,improved
LINK/USDT:USDT,2024-10-13 15:00:00+00:00,short_pullback_restart,-13.115,-9.967,3.149,trailing_stop_loss,stop_loss,improved
LINK/USDT:USDT,2025-02-06 15:00:00+00:00,short_pullback_restart,0.196,0.183,-0.013,trailing_stop_loss,trailing_stop_loss,worsened
LINK/USDT:USDT,2025-02-24 03:00:00+00:00,short_pullback_restart,24.649,20.298,-4.35,partial_exit,partial_exit,worsened
LINK/USDT:USDT,2025-03-02 14:00:00+00:00,short_pullback_restart,-12.932,-12.881,0.051,stop_loss,stop_loss,improved
LINK/USDT:USDT,2025-06-01 10:00:00+00:00,short_pullback_restart,-12.365,-12.317,0.048,trailing_stop_loss,trailing_stop_loss,improved
LINK/USDT:USDT,2025-07-01 19:00:00+00:00,short_compression_breakdown,-13.407,-13.351,0.056,stop_loss,stop_loss,improved
LINK/USDT:USDT,2026-01-31 09:00:00+00:00,short_pullback_restart,40.385,40.301,-0.084,roi,roi,worsened
LINK/USDT:USDT,2026-02-19 14:00:00+00:00,short_compression_breakdown,-18.179,-18.134,0.045,stop_loss,stop_loss,improved
LINK/USDT:USDT,2026-06-05 03:00:00+00:00,short_pullback_restart,46.532,46.423,-0.109,roi,roi,worsened
LINK/USDT:USDT,2026-06-07 20:00:00+00:00,short_pullback_restart,-22.708,-22.652,0.056,stop_loss,stop_loss,improved
NEAR/USDT:USDT,2023-07-10 01:00:00+00:00,short_compression_breakdown,-7.176,-7.176,0.0,stop_loss,stop_loss,same
NEAR/USDT:USDT,2023-07-27 19:00:00+00:00,short_pullback_restart,-7.281,-7.281,0.0,stop_loss,stop_loss,same
NEAR/USDT:USDT,2023-08-06 14:00:00+00:00,short_pullback_restart,-6.511,-6.511,0.0,trailing_stop_loss,trailing_stop_loss,same
NEAR/USDT:USDT,2023-08-21 11:00:00+00:00,short_pullback_restart,0.182,0.182,0.0,trailing_stop_loss,trailing_stop_loss,same
NEAR/USDT:USDT,2023-08-22 18:00:00+00:00,short_pullback_restart,-10.648,-8.166,2.481,trailing_stop_loss,stop_loss,improved
NEAR/USDT:USDT,2023-12-03 00:00:00+00:00,long_1d_center_compression,-7.299,-7.299,0.0,stop_loss,stop_loss,same
NEAR/USDT:USDT,2024-01-21 16:00:00+00:00,short_pullback_restart,30.147,30.147,0.0,roi,roi,same
NEAR/USDT:USDT,2024-03-26 00:00:00+00:00,long_1d_center_compression,-0.866,-0.866,0.0,trailing_stop_loss,trailing_stop_loss,same
NEAR/USDT:USDT,2024-08-19 00:00:00+00:00,short_pullback_restart,-11.217,-11.217,0.0,trailing_stop_loss,trailing_stop_loss,same
NEAR/USDT:USDT,2024-11-02 13:00:00+00:00,short_compression_breakdown,0.051,0.051,0.0,trailing_stop_loss,trailing_stop_loss,same
NEAR/USDT:USDT,2024-12-30 14:00:00+00:00,short_pullback_restart,0.32,0.076,-0.244,trailing_stop_loss,trailing_stop_loss,worsened
NEAR/USDT:USDT,2025-01-15 10:00:00+00:00,short_pullback_restart,-10.868,-10.868,0.0,stop_loss,stop_loss,same
NEAR/USDT:USDT,2025-01-26 22:00:00+00:00,short_pullback_restart,16.312,16.312,0.0,partial_exit,partial_exit,same
NEAR/USDT:USDT,2025-06-01 10:00:00+00:00,short_pullback_restart,-11.93,-11.844,0.086,trailing_stop_loss,trailing_stop_loss,improved
NEAR/USDT:USDT,2025-06-02 10:00:00+00:00,short_pullback_restart,-12.734,-12.734,0.0,stop_loss,stop_loss,same
NEAR/USDT:USDT,2025-06-21 14:00:00+00:00,short_pullback_restart,36.329,36.329,0.0,roi,roi,same
NEAR/USDT:USDT,2025-08-21 12:00:00+00:00,short_pullback_restart,0.156,0.155,-0.001,trailing_stop_loss,trailing_stop_loss,worsened
NEAR/USDT:USDT,2025-08-22 12:00:00+00:00,short_compression_breakdown,-14.159,-14.159,0.0,stop_loss,stop_loss,same
NEAR/USDT:USDT,2025-08-31 23:00:00+00:00,short_pullback_restart,-14.269,-14.278,-0.009,trailing_stop_loss,trailing_stop_loss,worsened
NEAR/USDT:USDT,2025-11-02 15:00:00+00:00,short_pullback_restart,-14.913,-14.83,0.083,stop_loss,stop_loss,improved
NEAR/USDT:USDT,2025-11-28 02:00:00+00:00,short_pullback_restart,-15.682,-15.682,0.0,stop_loss,stop_loss,same
NEAR/USDT:USDT,2025-11-29 15:00:00+00:00,short_compression_breakdown,61.226,61.04,-0.186,roi,roi,worsened
NEAR/USDT:USDT,2026-01-20 07:00:00+00:00,short_pullback_restart,0.179,0.179,0.0,trailing_stop_loss,trailing_stop_loss,same
NEAR/USDT:USDT,2026-02-04 14:00:00+00:00,short_pullback_restart,0.256,0.256,0.0,trailing_stop_loss,trailing_stop_loss,same
NEAR/USDT:USDT,2026-02-24 14:00:00+00:00,short_compression_breakdown,-15.725,-15.701,0.024,trailing_stop_loss,trailing_stop_loss,improved
NEAR/USDT:USDT,2026-04-02 02:00:00+00:00,short_pullback_restart,0.636,0.638,0.002,trailing_stop_loss,trailing_stop_loss,improved
PAXG/USDT:USDT,2025-06-14 00:00:00+00:00,long_1d_center_compression,-12.175,-12.103,0.072,stop_loss,stop_loss,improved
