feature,direction,quantile,threshold,kept,removed,kept_delta_profit_abs,removed_positive_profit,removed_negative_profit,estimated_improvement,positive_profit_kill_pct,negative_loss_removed_pct
ema20_slope3,keep_ge,0.4,-0.0030134348353272333,40,26,86.03447518000002,98.52449196999999,-19.506089620000004,-79.01840235,35.477716864626615,17.31485669635517
ret_6h,keep_le,0.8,-0.011018363939899856,53,13,85.57622916000003,105.25699942,-25.78035105,-79.47664836999998,37.90202769662583,22.884293710759618
ret_6h,keep_ge,0.8,-0.011018363939899856,14,52,84.75383126999999,167.17391357000002,-86.87486731000001,-80.29904626000001,60.197709769403886,77.11570628924036
ret_12h,keep_ge,0.7,-0.01700003504991382,20,46,84.51449701000001,151.3483322,-70.80995168000001,-80.53838052,54.49907094532418,62.85545641900081
ret_12h,keep_ge,0.4,-0.02330581951862387,40,26,83.51409512000001,103.38666409999999,-21.84788169,-81.53878241000001,37.228538033313725,19.393581591740478
distance_ema50_4h,keep_ge,0.8,0.06535334668745814,14,52,82.45975049,190.41133873,-107.81821169,-82.59312704000001,68.56528187259684,95.70636252770561
ret_12h,keep_le,0.4,-0.02330581951862387,27,39,81.53515780000001,174.32143178999996,-90.80371206000001,-83.51771972999998,62.77146196668627,80.6032009718613
ret_12h,keep_le,0.7,-0.01700003504991382,46,20,80.53838052,126.35976368999998,-41.845266679999995,-84.51449701000001,45.500929054675815,37.144543580999176
atr_pct,keep_le,0.3,0.007905806377824004,20,46,76.40208031,171.52325942,-82.8724622,-88.65079722000002,61.76386715349496,73.56291471130392
distance_ema50_4h,keep_le,0.4,0.032918696279113854,27,39,75.76409914,154.53226559,-65.2434872,-89.28877839,55.645574571657484,57.91430539108139
ema50_slope3_4h,keep_ge,0.3,-0.006317972633402058,46,20,75.51011196000002,109.03185062,-19.48908505,-89.54276557,39.26131511239321,17.299762348976017
atr_pct_rank_30d,keep_ge,0.8,0.6569444444444444,14,52,74.82659541000001,195.73235138,-105.50606926,-90.22628212000001,70.4813270757254,93.6539565551644
ema50_slope3_4h,keep_le,0.4,-0.005085436581050207,27,39,74.53421202999999,163.15798267000002,-72.63931717,-90.5186655,58.75161188481405,64.47931860366596
add_delay_h,keep_le,0.6,0.5833333333333334,40,26,73.89882017,138.53954599000002,-47.38548863,-91.15405736,49.886750887116904,42.06240005551749
ema20_slope3,keep_ge,0.6,-0.002249190466610318,27,39,71.11377933000001,146.72725734,-52.788159140000005,-93.93909819999999,52.835066572246625,46.85815704631687
distance_ema50_4h,keep_ge,0.7,0.05845324118832462,20,46,70.66975521,177.4736997,-83.09057738,-94.38312232000001,63.906563159864525,73.75652773977721
ret_12h,keep_le,0.6,-0.01860765329645009,40,26,69.40289429999999,151.16112305000001,-55.51113981999999,-95.64998323,54.43165874064933,49.275249409760214
ema20_slope3,keep_le,0.2,-0.003509148462694456,14,52,66.05588834,203.58047923,-104.58349003999999,-98.99698919,73.30736202614638,92.83501604496821
ema20_slope3,keep_le,0.3,-0.00330309565249276,20,46,64.2830457,195.18355143999997,-94.41371961,-100.76983182999999,70.28370952401477,83.8076752985311
atr_pct_rank_30d,keep_le,0.2,0.09722222222222222,14,52,64.24737222999998,191.04151486,-90.23600956000001,-100.80550530000002,68.79220220345015,80.0992718079358
ema50_slope3_4h,keep_ge,0.6,-0.0037108729024472042,27,39,63.76410242000001,164.0570206,-62.76824549,-101.28877510999999,59.07534675005761,55.71712203283682
close_position,keep_ge,0.6,0.17424242424242053,27,39,63.005367230000004,164.17149152999997,-62.12398123,-102.0475103,59.11656662506094,55.14523173837998
ret_24h,keep_ge,0.6,-0.014496418036241021,27,39,62.415798380000005,147.66672477000003,-45.02964562,-102.63707914999998,53.17335970950258,39.971202644251825
atr_pct_rank_30d,keep_le,0.4,0.23472222222222222,27,39,62.35927444,172.66982481000002,-69.97622172,-102.69360309000001,62.17673426358965,62.115384212726475
atr_pct_rank_30d,keep_ge,0.7,0.48958333333333337,20,46,62.25257709000001,175.40584091,-72.60554047,-102.80030044,63.161947204981075,64.44933623756546
ema20_distance,keep_le,0.2,0.011526595074098261,14,52,61.646986829999996,190.28075801,-86.87486731000001,-103.40589070000001,68.51826101798994,77.11570628924036
ema20_distance,keep_le,0.3,0.013730006508317516,20,46,61.131536010000005,177.13033568999998,-73.20899417000001,-103.92134152,63.78292110006084,64.98500046047934
atr_pct,keep_le,0.2,0.007362546015912606,14,52,57.298568640000006,195.07580439999998,-87.32149551,-107.75430889,70.24491085678302,77.51216213611713
atr_pct,keep_ge,0.4,0.008943678994440388,40,26,56.82643725,144.84188223,-36.61544195,-108.22644028,52.1561612259845,32.50221559465804
ema20_slope3,keep_le,0.4,-0.0030134348353272333,27,39,56.266058050000005,179.18360392,-70.39678444,-108.78681948,64.52228313537339,62.48870266714203
ema50_slope3_4h,keep_le,0.2,-0.007625925395709832,14,52,56.0698203,216.80126892,-107.81821169,-108.98305723000001,78.06804055358721,95.70636252770561
ema20_slope3,keep_ge,0.8,-0.001798048965289789,14,52,54.92482013000001,194.98715464,-84.85909724000001,-110.12805740000002,70.21298893541595,75.32637943927732
atr_pct,keep_ge,0.6,0.010002255701582558,27,39,54.48341025,187.79469382,-77.22522654,-110.56946727999997,67.62305334245113,68.55006600157637
ret_3h,keep_ge,0.7,-0.012709321269105511,20,46,52.524626469999994,206.1631756,-93.63492454000001,-112.52825106,74.23736601530734,83.11636682535298
ema20_slope3,keep_ge,0.7,-0.0019445337097054316,20,46,51.63511319000001,183.41358925999998,-69.99582492,-113.41776433999999,66.04545995398348,62.13278527082693
ema20_distance,keep_ge,0.6,0.019543670542037657,27,39,50.98776533,212.54622371,-98.48111151,-114.06511219999999,76.53583991810935,87.4181533209537
atr_pct_rank_30d,keep_le,0.3,0.15833333333333333,20,46,50.059111239999986,191.037172,-76.04340571,-114.99376629,68.79063838155793,67.50100600488507
ret_12h,keep_ge,0.8,-0.014558643236616264,14,52,48.341641970000005,187.54933512999997,-70.83809957000001,-116.71123556,67.53470205070585,62.880442292189606
body_ratio,keep_ge,0.2,0.6529928840519059,53,13,47.42871700000001,130.17039044,-12.546229910000003,-117.62416053,46.873098900062466,11.136838659268655
ret_12h,keep_le,0.3,-0.02619944232741994,20,46,46.914806160000005,209.05348960999999,-90.91541824000001,-118.13807136999998,75.2781401420886,80.70235854452076
ret_12h,keep_le,0.2,-0.028306354399862177,14,52,46.66640796000001,222.56402035,-104.17755077999999,-118.38646956999997,80.14315161995043,92.47467831191905
atr_pct_rank_30d,keep_ge,0.6,0.4375,28,38,46.5455342,168.0434347,-49.53609137000001,-118.50734332999998,60.51081592038351,43.971413034505794
distance_ema50_4h,keep_ge,0.6,0.0484919573281914,27,39,46.35225787999999,168.58759252000002,-49.886972869999994,-118.70061965000002,60.70676188956964,44.28287796716316
ret_6h,keep_le,0.7,-0.013509682255849309,46,20,45.20928010000001,145.62394847999997,-25.78035105,-119.84359742999997,52.43777572033102,22.884293710759618
add_profit,keep_le,0.4,0.005979344084073272,27,39,44.79991423,205.34760819999997,-85.09464489999999,-120.25296329999998,73.94368808078899,75.5354666555013
stop_distance_from_add,keep_le,0.4,0.06790010936930367,27,39,44.79991423,205.34760819999997,-85.09464489999999,-120.25296329999998,73.94368808078899,75.5354666555013
ema20_distance,keep_ge,0.4,0.014675972329430258,40,26,38.62333181,171.66192196999998,-45.23237625,-126.42954572,61.81379819693667,40.151159359041685
ret_24h,keep_ge,0.8,-0.005170863309352569,14,52,37.71897061000001,206.40683148,-79.07292456,-127.33390692,74.32510414163713,70.19020131612125
body_ratio,keep_ge,0.3,0.6864033134408032,46,20,36.966838680000016,154.95930654,-26.873267690000002,-128.08603885,55.79934788843149,23.854436644136648
add_delay_h,keep_ge,0.8,1.0,15,51,36.37018092000001,234.54968923,-105.86699261999999,-128.68269661,84.45907508685127,93.97433528706355
stop_distance_from_add,keep_le,0.3,0.06743043330490897,20,46,35.383693099999995,230.17225865,-100.50307422,-129.66918443,82.88280466305567,89.2129771555129
