pair,open_date,add_date,add_delay_h,add_rate,add_stake,add_profit,stop_distance_from_add,candidate_profit_abs,baseline_profit_abs,delta_profit_abs,candidate_profit_ratio,baseline_profit_ratio,candidate_exit_reason,baseline_exit_reason,close_position,body_ratio,ret_1h,ret_3h,ret_6h,ret_12h,ret_24h,ema20_distance,ema20_slope3,atr_pct,atr_pct_rank_30d,ema50_slope3_4h,distance_ema50_4h
SOL/USDT:USDT,2025-02-06 15:00:00+00:00,2025-02-06T15:35:00+00:00,0.5833333333333334,193.06,59.878524299999995,0.008723601990151849,0.07163576090334603,0.020536,0.023359,-0.0028230000000000026,6.762566547354544e-05,9.814683605495448e-05,trailing_stop_loss,trailing_stop_loss,0.021818181818182646,0.8981818181818177,-0.024636449952526118,-0.024880095923261347,-0.02934155559976137,-0.024928810511065547,-0.04220237511041314,0.025382689929597656,-0.0044178511802710485,0.013079501705385499,0.3527777777777778,-0.008564443260415278,0.0710605302911798
LINK/USDT:USDT,2025-02-06 15:00:00+00:00,2025-02-06T15:20:00+00:00,0.3333333333333333,19.007,63.51512169,0.004869109947643977,0.06650181512074495,0.19600385,0.00337674,0.19262711000000002,0.0006177408699838974,1.3599625146494615e-05,trailing_stop_loss,trailing_stop_loss,0.09217391304347981,0.8104347826086924,-0.023739023892178857,-0.029338612253185126,-0.021040237534554973,-0.0153949129852744,-0.029831058799654864,0.021547396079660577,-0.003430232554831991,0.01755552401371572,0.475,-0.011463129356598989,0.08756393979861173
DOGE/USDT:USDT,2025-02-23 16:00:00+00:00,2025-02-24T02:05:00+00:00,10.083333333333334,0.23879,97.95285195,0.006118371763922413,0.06813518154026553,24.72919929,19.91002664,4.819172649999999,0.05050432033579592,0.05196650337464662,partial_exit,partial_exit,0.25688073394495625,0.6766055045871574,-0.012138728323699444,-0.009972276244465617,-0.007549361207897731,-0.022351162505618416,-0.0230298080849326,0.013804925554732643,-0.0019326121658075346,0.008502406228729052,0.09722222222222222,-0.005150826975974576,0.0358397956252971
LINK/USDT:USDT,2025-02-24 03:00:00+00:00,2025-02-24T03:20:00+00:00,0.3333333333333333,17.116,94.69880574,0.006674017758690846,0.068882916569292,24.64857162,19.87243633,4.776135289999999,0.05206224844580138,0.05365318153590414,partial_exit,partial_exit,0.01376146788990878,0.683486238532098,-0.00861573808156224,-0.019541013406043972,-0.014390132480584628,-0.019986372927549234,-0.022373265363919592,0.018432938255316784,-0.0034751131432965154,0.010151464989240218,0.08472222222222223,-0.004278624467075498,0.029798355299062853
ETH/USDT:USDT,2025-02-26 13:00:00+00:00,2025-02-26T14:00:00+00:00,1.0,2415.74,89.42707118999998,0.005348474305501326,0.06710573157707375,0.00133426,0.00135488,-2.061999999999984e-05,2.9392463814851192e-06,3.817792511805629e-06,trailing_stop_loss,trailing_stop_loss,0.2373770491803207,0.5311475409836155,-0.006665433088673733,-0.03078472358744544,-0.02695887894887372,-0.027894698719548083,0.001662706853586382,0.021772727773603725,-0.004793239842486252,0.010972680361770232,0.4736111111111111,-0.007625925395709832,0.06582299187167157
BTC/USDT:USDT,2025-02-26 14:00:00+00:00,2025-02-26T14:10:00+00:00,0.16666666666666666,86377.2,86.4203886,0.007400495511438592,0.06948361373140138,27.93719049,19.13973606,8.797454429999998,0.05353325027509871,0.054932044507623866,partial_exit,partial_exit,0.14340344168260039,0.7171128107074626,-0.008532423208191142,-0.023221877140029434,-0.017278532469275132,-0.016958176448957363,-0.01844954447724423,0.016446356172150865,-0.0030782649518553695,0.007963117777231377,0.6902777777777778,-0.007041351531852924,0.05697016674829828
BTC/USDT:USDT,2025-03-09 10:00:00+00:00,2025-03-09T11:00:00+00:00,1.0,84816.8,84.8592084,0.0071847792243060786,0.06894860452174568,29.92253756,25.88859613,4.033941429999999,0.05006153083514837,0.050470923865654285,partial_exit,partial_exit,0.16334272707565156,0.7762844136136924,-0.008374545497059627,-0.013402521144274204,-0.013938169355326324,-0.017138745035963576,-0.014738835227767755,0.013151208413314358,-0.00248297171811096,0.004460206539514044,0.24027777777777778,-0.002571056815796058,0.021411389893875737
ZEC/USDT:USDT,2025-03-09 03:00:00+00:00,2025-03-09T03:45:00+00:00,0.75,31.75,85.67256487499999,0.005637331663012832,0.06740157480314962,-0.01407609,-0.05009739,0.0360213,-3.289163838692507e-05,-0.00015122599065562253,trailing_stop_loss,trailing_stop_loss,0.19354838709677086,0.6451612903225925,-0.006525792417650722,-0.01781874039938547,-0.023220287198288947,-0.022623051054723398,-0.02738059020383321,0.021072434764770814,-0.004962809855276862,0.00904866169176457,0.001388888888888889,-0.008638320352370443,0.07230696329555374
ETH/USDT:USDT,2025-04-05 13:00:00+00:00,2025-04-05T14:00:00+00:00,1.0,1786.12,142.9610448,0.004869460570740899,0.06647929590397063,37.72551973,29.81748256,7.908037170000004,0.05257300853935216,0.05372444675901358,partial_exit,partial_exit,0.2509529860228744,0.6931385006353143,-0.006065563735719426,-0.017130185003796816,-0.014494592805120221,-0.017870594898357517,-0.008438209545169273,0.011844565970313125,-0.002249190466610318,0.005439533676560105,0.043055555555555555,-0.00305330190344022,0.025476454761875496
SOL/USDT:USDT,2025-04-05 14:00:00+00:00,2025-04-06T13:00:00+00:00,23.0,116.38,67.5341502,0.00961620287635103,0.07277882797731568,17.55988371,13.67236128,3.8875224300000006,0.051377720510394645,0.05161426976611944,partial_exit,partial_exit,0.11721611721611976,0.7912087912087888,-0.018302968960863697,-0.027571225666304544,-0.02463755970837167,-0.03250207813798833,-0.022753988245172052,0.023315117891729627,-0.003639247043788263,0.009727148871405257,0.2111111111111111,-0.003948862619293614,0.036252037340469986
BTC/USDT:USDT,2025-04-08 15:00:00+00:00,2025-04-08T17:00:00+00:00,2.0,77393.5,77.43219675,0.011146616853572171,0.07433828422283528,0.79796767,0.05361599,0.7443516800000001,0.0017001160646273512,0.00017096678307894548,trailing_stop_loss,trailing_stop_loss,0.056692242114237,0.9091219096334137,-0.013592913586540911,-0.03083675616108994,-0.020077438110287282,-0.03571397422623246,-1.6796994113388308e-05,0.02040223084984331,-0.00416189772736375,0.009764755068947265,0.7819444444444444,-0.0037108729024472042,0.03916290154299185
ADA/USDT:USDT,2025-06-02 09:00:00+00:00,2025-06-02T09:10:00+00:00,0.16666666666666666,0.6663,109.3278366,0.00626398210290825,0.06828755815698632,-17.17305847,-12.50795032,-4.66510815,-0.03140171492949242,-0.0297658527147793,trailing_stop_loss,stop_loss,0.1747572815533989,0.6893203883495083,-0.01046271735926907,-0.010170990566037763,-0.01060851628112569,-0.007830969267139443,0.004938641125411536,0.008917881590279935,-0.0005208663617587428,0.009892564620785032,0.1125,-0.006135020136293301,0.0505706832162385
SUI/USDT:USDT,2025-06-04 11:00:00+00:00,2025-06-04T11:25:00+00:00,0.4166666666666667,3.1992,128.99222387999998,0.005100136832939412,0.06676669167291824,0.45327208,0.05845704,0.39481504,0.0007034002773819349,0.00011787887328524022,trailing_stop_loss,trailing_stop_loss,0.07329842931937569,0.7722513089005183,-0.009078878527682743,-0.0070620162210502935,-0.012694713602354968,-0.009901599015990081,-0.030093080700063224,0.013096840396891149,-0.002588876042225463,0.009729974355106332,0.011111111111111112,-0.004997778299383415,0.042963448150815486
DOGE/USDT:USDT,2025-06-04 14:00:00+00:00,2025-06-04T14:05:00+00:00,0.08333333333333333,0.19034,105.31064900999999,0.0059017078393481595,0.06782599558684448,21.92087198,0.0647323,21.856139680000002,0.0416533198853881,0.00015984658784212364,partial_exit,trailing_stop_loss,0.12209302325582315,0.4360465116278914,-0.003947641803448865,-0.0183772715638596,-0.018276762402088753,-0.01611082606464842,-0.01782421634910869,0.014428564533777503,-0.003525531943397997,0.008515108170927922,0.020833333333333332,-0.004494464747272553,0.04160659600321506
SOL/USDT:USDT,2025-06-05 14:00:00+00:00,2025-06-05T14:20:00+00:00,0.3333333333333333,148.92,99.8262882,0.00713380892059485,0.06950040290088653,0.29613546999999996,-0.04421076,0.34034622999999997,0.0005896505760026662,-0.00011454303186595663,stale_loss_72h,trailing_stop_loss,0.15670103092783336,0.7443298969072202,-0.023397894189523094,-0.01053602001843823,-0.013783145182462708,-0.0197025052192068,-0.03469099319028657,0.0196758376833699,-0.0027492857672621884,0.010353482535034552,0.3472222222222222,-0.005455498387212487,0.04605025829604289
