symbol,pair,date,entry_tag,side,close,initial_stop,risk_pct,trend_up_4h,trend_down_4h,compression_width_pct,volume_ratio,body_pct_of_range,close_position,forward_ret_6h,forward_ret_24h,forward_ret_72h,mfe_24h,mae_24h,first_event_24h,bars_to_first_event_24h,hit_tp1_before_stop_24h,hit_tp2_before_stop_24h,hit_stop_before_tp1_24h,max_r_24h,min_r_24h,first_event_72h,bars_to_first_event_72h,hit_tp1_before_stop_72h,hit_tp2_before_stop_72h,hit_stop_before_tp1_72h,max_r_72h,min_r_72h,year,month
ETH,ETH/USDT:USDT,2023-04-13 08:00:00+00:00,long_compression_breakout,long,1962.99,1895.0537471303549,0.03460855779685335,True,False,0.016296567990667303,4.530132386166763,0.6839784419402269,0.7221950024497797,0.019190113041839263,0.07410124351117409,0.06857396115110115,0.08897141605408065,-5.094269456273892e-06,tp1,16.0,True,True,False,2.570792362291678,-0.00014719681433090993,tp1,16.0,True,True,False,2.570792362291678,-0.00014719681433090993,2023,2023-04
ETH,ETH/USDT:USDT,2023-04-13 08:00:00+00:00,long_pullback_restart,long,1962.99,1895.0537471303549,0.03460855779685335,True,False,0.016296567990667303,4.530132386166763,0.6839784419402269,0.7221950024497797,0.019190113041839263,0.07410124351117409,0.06857396115110115,0.08897141605408065,-5.094269456273892e-06,tp1,16.0,True,True,False,2.570792362291678,-0.00014719681433090993,tp1,16.0,True,True,False,2.570792362291678,-0.00014719681433090993,2023,2023-04
BTC,BTC/USDT:USDT,2023-04-13 14:00:00+00:00,long_pullback_restart,long,30428.3,29943.11886821841,0.015945062056755988,True,False,0.012882744024477213,3.3654618576971944,0.661985957873616,0.6800401203610801,-0.0064183671121949,0.0051399519526231785,-0.004085012964904378,0.020727414939382127,-0.007995845972334936,tp1,11.0,True,False,False,1.2999268905698502,-0.5014622046545795,tp1,11.0,True,False,False,1.2999268905698502,-1.0373445441950278,2023,2023-04
BNB,BNB/USDT:USDT,2023-04-14 00:00:00+00:00,long_pullback_restart,long,329.16,321.8001883841473,0.022359374212701177,True,False,0.009022967553773324,3.1074252169980543,0.8391472868217186,0.9554263565891545,0.015493984688297324,-0.002946895126989979,0.04423380726698256,0.02120549276947359,-0.01813707619394833,none,,False,False,False,0.9483938399952165,-0.8111620665861748,tp1,38.0,True,True,False,3.0489910844545522,-0.8111620665861748,2023,2023-04
XRP,XRP/USDT:USDT,2023-04-14 00:00:00+00:00,long_pullback_restart,long,0.5182,0.5066275823484501,0.02233195224150893,True,False,0.01640293323041309,2.9275024976261252,0.7820512820512784,0.9230769230769176,0.0318409880355075,0.001929756850636899,-0.014087225009648763,0.05596294866846785,-0.012543419529139288,tp1,5.0,True,True,False,2.505958640035427,-0.561680384835522,tp1,5.0,True,True,False,2.505958640035427,-0.9332535624959541,2023,2023-04
BNB,BNB/USDT:USDT,2023-04-15 09:00:00+00:00,long_pullback_restart,long,334.37,326.7501953487521,0.02278854158940076,True,False,0.013517959147052611,1.5086057201849796,0.8938992042440373,0.8965517241379342,-0.00011962795705366958,-0.003917815593504237,0.029936896252654277,0.007357119358794018,-0.013069354308101855,none,,False,False,False,0.3228429221734829,-0.5735055162187536,tp1,28.0,True,True,False,2.261212824816733,-0.5735055162187536,2023,2023-04
ZEC,ZEC/USDT:USDT,2023-04-15 22:00:00+00:00,long_pullback_restart,long,43.21,41.84547690294251,0.03157887287797947,True,False,0.023605646841009097,1.2645247887962479,0.6818181818181897,0.9242424242424282,-0.01596852580421193,-0.00809997685720898,-0.018282804906271655,0.002777134922471669,-0.03147419578801203,none,,False,False,False,0.087942813323402,-0.9966852176652434,stop,26.0,False,False,True,0.087942813323402,-1.5023563942748193,2023,2023-04
SOL,SOL/USDT:USDT,2023-04-16 18:00:00+00:00,long_pullback_restart,long,24.661,23.922744757079997,0.029936143827095602,True,False,0.020274928024005514,1.3109868360790597,0.9807692307692301,1.0,0.008150521065650063,0.00620412797534553,-0.06277117716232117,0.05701309760350348,-0.01451684846518797,tp1,2.0,True,False,False,1.9044903689933552,-0.4849271352059906,tp1,2.0,True,False,False,1.9044903689933552,-4.258689701362104,2023,2023-04
ZEC,ZEC/USDT:USDT,2023-04-25 07:00:00+00:00,short_pullback_restart,short,36.13,37.15088068456918,0.028255762097126436,False,True,0.020204815942430024,1.3942306765115757,0.6999999999999751,0.025000000000012436,-0.0109499041883383,-0.012841530054644723,-0.05245213742460009,0.014033118158854885,-0.037559936068193855,stop,14.0,False,False,True,0.48977320029421945,-1.3811604248296956,stop,14.0,False,False,True,1.596660632959158,-2.879866417730008,2023,2023-04
BNB,BNB/USDT:USDT,2023-04-25 15:00:00+00:00,long_pullback_restart,long,331.89,327.6910307684002,0.012651689510379312,True,False,0.010093705745879556,2.459000990231626,0.6763754045307417,0.8737864077669937,0.014944710596884514,0.030281117237638933,-0.03196842327277116,0.039711952755431046,-0.003284220675524918,tp1,6.0,True,True,False,3.1388655817748115,-0.2595875177643751,tp1,6.0,True,True,False,3.1388655817748115,-3.429413078722093,2023,2023-04
