symbol,pair,date,entry_tag,side,close,initial_stop,risk_pct,trend_up_4h,trend_down_4h,compression_width_pct,volume_ratio,body_pct_of_range,close_position,forward_ret_6h,forward_ret_24h,forward_ret_72h,mfe_24h,mae_24h
LINK,LINK/USDT:USDT,2026-02-11 04:00:00+00:00,short_pullback_restart,short,8.404,8.672856037074983,0.031991437062706164,False,True,0.024036173250832932,1.9547082069154464,0.7344632768361643,0.19774011299435154,0.023255813953488413,-0.0002379252914586072,-0.049428797647324885,0.03472051218911609,-0.018453632328895075
DOGE,DOGE/USDT:USDT,2026-02-11 06:00:00+00:00,short_compression_breakdown,short,0.09037,0.0942485581415382,0.04291864713442722,False,True,0.028881265906827498,2.36502487572454,0.8231292517006732,0.15646258503401914,0.0041111111111111764,-0.024187452758881234,-0.06362035022277479,0.02891950358647377,-0.027756858526089334
DOGE,DOGE/USDT:USDT,2026-02-11 06:00:00+00:00,short_pullback_restart,short,0.09037,0.0942485581415382,0.04291864713442722,False,True,0.028881265906827498,2.36502487572454,0.8231292517006732,0.15646258503401914,0.0041111111111111764,-0.024187452758881234,-0.06362035022277479,0.02891950358647377,-0.027756858526089334
LINK,LINK/USDT:USDT,2026-02-11 06:00:00+00:00,short_compression_breakdown,short,8.302,8.655706480947305,0.04260497240993807,False,True,0.0336063599132739,2.5576396437321742,0.5803571428571538,0.2678571428571369,0.003990809045833821,-0.019950419076850467,-0.05840988998525587,0.02216202905688247,-0.030366736743751455
LINK,LINK/USDT:USDT,2026-02-11 06:00:00+00:00,short_pullback_restart,short,8.302,8.655706480947305,0.04260497240993807,False,True,0.0336063599132739,2.5576396437321742,0.5803571428571538,0.2678571428571369,0.003990809045833821,-0.019950419076850467,-0.05840988998525587,0.02216202905688247,-0.030366736743751455
TRX,TRX/USDT:USDT,2026-02-12 15:00:00+00:00,short_pullback_restart,short,0.27724,0.27981826926301023,0.009299773708737004,False,True,0.006997547251478854,1.4132887246042265,0.7640449438202387,0.04494382022470158,-0.0060588678162980525,-0.0039877851625651495,-0.01179825343076113,0.004565548228132377,-0.011516383213891035
ETH,ETH/USDT:USDT,2026-02-17 14:00:00+00:00,short_pullback_restart,short,1947.55,2012.5732144874542,0.03338718620187117,False,True,0.024877410079330465,5.664365703474134,0.6893442622950812,0.0839344262295064,-0.023128316764142398,-0.013219229444072944,0.002527488366346642,0.0038865779042376314,-0.04450833304714297
TRX,TRX/USDT:USDT,2026-02-18 12:00:00+00:00,short_pullback_restart,short,0.27942,0.2822704858473278,0.010201438148048733,False,True,0.007801875313148521,1.3952653834069535,0.639534883720904,0.3488372093023406,0.0,-0.0016078893772109026,-0.02321191358456265,0.005433413695081102,-0.005693544943420337
BNB,BNB/USDT:USDT,2026-02-19 13:00:00+00:00,short_pullback_restart,short,598.02,615.4861188700992,0.02920657983027189,False,True,0.020333768101401237,2.777795993182508,0.6694677871148504,0.25770308123249125,-0.010490436163875905,-0.010130102294170218,-0.03501581359323569,0.003742929555715868,-0.028162834159421557
LINK,LINK/USDT:USDT,2026-02-19 13:00:00+00:00,short_compression_breakdown,short,8.395,8.763122553367287,0.043850214814447605,False,True,0.0237045860631328,3.9695400754120915,0.7878787878787963,0.1868686868686833,-0.013397579033964102,-0.011887947269303312,-0.03704978206010556,0.006836171743823449,-0.037822349570200586
LINK,LINK/USDT:USDT,2026-02-19 13:00:00+00:00,short_pullback_restart,short,8.395,8.763122553367287,0.043850214814447605,False,True,0.0237045860631328,3.9695400754120915,0.7878787878787963,0.1868686868686833,-0.013397579033964102,-0.011887947269303312,-0.03704978206010556,0.006836171743823449,-0.037822349570200586
ADA,ADA/USDT:USDT,2026-02-22 12:00:00+00:00,short_compression_breakdown,short,0.273,0.280380623250711,0.02703525000260433,False,True,0.01941391941391951,1.4419651313317017,0.7878787878787925,0.1212121212121258,0.01223581757508363,-0.002192982456140302,-0.013015184381778733,0.06267029972752036,-0.008354522339266146
ADA,ADA/USDT:USDT,2026-02-22 12:00:00+00:00,short_pullback_restart,short,0.273,0.280380623250711,0.02703525000260433,False,True,0.01941391941391951,1.4419651313317017,0.7878787878787925,0.1212121212121258,0.01223581757508363,-0.002192982456140302,-0.013015184381778733,0.06267029972752036,-0.008354522339266146
SUI,SUI/USDT:USDT,2026-02-22 12:00:00+00:00,short_compression_breakdown,short,0.926,0.950178174617617,0.026110339759845523,False,True,0.021058315334773176,2.064391507923742,0.7983193277310945,0.17647058823529466,0.0056472632493485,0.016577011746624182,0.021511307225593024,0.0761185357350378,-0.002799913848804625
