"open_time","open","high","low","close","volume","close_time"
"2025/12/7 4:00:00","339.25","344.43","338.38","342.81","70492.035","2025/12/7 4:59:59"
"2025/12/7 5:00:00","342.82","349.55","340.78","342.82","111090.177","2025/12/7 5:59:59"
"2025/12/7 6:00:00","342.81","344.73","340.67","343.08","59857.019","2025/12/7 6:59:59"
"2025/12/7 7:00:00","343.07","343.29","338.03","340.15","92012.584","2025/12/7 7:59:59"
"2025/12/7 8:00:00","340.15","341.15","337.46","338.69","61616.834","2025/12/7 8:59:59"
"2025/12/7 9:00:00","338.68","339.41","335.01","335.79","93832.298","2025/12/7 9:59:59"
"2025/12/7 10:00:00","335.78","342.87","334.15","341.39","109646.471","2025/12/7 10:59:59"
"2025/12/7 11:00:00","341.42","346.66","340.25","343.63","103740.574","2025/12/7 11:59:59"
"2025/12/7 12:00:00","343.69","353.26","341.13","346.53","193143.437","2025/12/7 12:59:59"
"2025/12/7 13:00:00","346.54","351","342.52","347.46","201446.742","2025/12/7 13:59:59"
"2025/12/7 14:00:00","347.46","349.88","338.32","339.52","285227.812","2025/12/7 14:59:59"
"2025/12/7 15:00:00","339.51","343.5","331.23","341.71","265935.621","2025/12/7 15:59:59"
"2025/12/7 16:00:00","341.71","344.98","334.18","338.79","175990.042","2025/12/7 16:59:59"
"2025/12/7 17:00:00","338.82","348.08","334.88","346.69","214734.777","2025/12/7 17:59:59"
"2025/12/7 18:00:00","346.72","349.97","344.01","347.51","116396.073","2025/12/7 18:59:59"
"2025/12/7 19:00:00","347.51","349.65","343.69","347.35","84736.532","2025/12/7 19:59:59"
"2025/12/7 20:00:00","347.35","353.99","344.7","346.68","89210.176","2025/12/7 20:59:59"
"2025/12/7 21:00:00","346.68","349.79","338.45","339.72","110092.125","2025/12/7 21:59:59"
"2025/12/7 22:00:00","339.74","340.59","332.22","335.28","173691.535","2025/12/7 22:59:59"
"2025/12/7 23:00:00","335.24","344.46","333.24","342.67","112318.742","2025/12/7 23:59:59"
"2025/12/8 0:00:00","342.67","349.25","341.17","344.03","116696.872","2025/12/8 0:59:59"
"2025/12/8 1:00:00","344.03","351.83","342.89","350.86","138013.179","2025/12/8 1:59:59"
"2025/12/8 2:00:00","350.86","351.6","348.12","350.16","71839.431","2025/12/8 2:59:59"
"2025/12/8 3:00:00","350.16","351.87","349.01","350.36","69013.531","2025/12/8 3:59:59"
"2025/12/8 4:00:00","350.34","359.85","349.26","353.93","172057.65","2025/12/8 4:59:59"
"2025/12/8 5:00:00","353.94","357.67","351","355.56","101767.526","2025/12/8 5:59:59"
"2025/12/8 6:00:00","355.56","369.08","354.43","367.91","221245.124","2025/12/8 6:59:59"
"2025/12/8 7:00:00","367.9","375.65","365","368.57","313576.334","2025/12/8 7:59:59"
"2025/12/8 8:00:00","368.57","373.97","368.13","373.17","95569.185","2025/12/8 8:59:59"
"2025/12/8 9:00:00","373.17","394.27","372.78","389.9","415549.304","2025/12/8 9:59:59"
"2025/12/8 10:00:00","389.92","397.9","387.17","395.41","258805.774","2025/12/8 10:59:59"
"2025/12/8 11:00:00","395.41","399.25","383.8","385.8","286930.294","2025/12/8 11:59:59"
"2025/12/8 12:00:00","385.8","389.81","379","382.75","251566.658","2025/12/8 12:59:59"
"2025/12/8 13:00:00","382.75","388.9","381.32","384.25","169708.879","2025/12/8 13:59:59"
"2025/12/8 14:00:00","384.25","409.95","384.03","407.52","615908.786","2025/12/8 14:59:59"
"2025/12/8 15:00:00","407.52","408.03","393.5","402.02","500919.299","2025/12/8 15:59:59"
"2025/12/8 16:00:00","402.02","425","399.36","419.33","576946.113","2025/12/8 16:59:59"
"2025/12/8 17:00:00","419.33","421.98","411.76","419.32","267372.199","2025/12/8 17:59:59"
"2025/12/8 18:00:00","419.33","420.73","401.26","410.51","297143.708","2025/12/8 18:59:59"
"2025/12/8 19:00:00","410.51","413.56","403.74","405","169884.744","2025/12/8 19:59:59"
"2025/12/8 20:00:00","405","412.46","404.13","409.34","139925.973","2025/12/8 20:59:59"
"2025/12/8 21:00:00","409.35","417.13","407.25","415.68","140784.276","2025/12/8 21:59:59"
"2025/12/8 22:00:00","415.68","418.98","411.1","413.58","95274.611","2025/12/8 22:59:59"
"2025/12/8 23:00:00","413.57","414.1","403.3","405.19","134720.03","2025/12/8 23:59:59"
"2025/12/9 0:00:00","405.2","418.78","404.46","414.67","173102.746","2025/12/9 0:59:59"
"2025/12/9 1:00:00","414.7","417.31","400","403.13","173071.893","2025/12/9 1:59:59"
"2025/12/9 2:00:00","403.13","409.87","401.4","402.93","134630.864","2025/12/9 2:59:59"
"2025/12/9 3:00:00","402.94","404.2","390.02","401.39","305854.81","2025/12/9 3:59:59"
"2025/12/9 4:00:00","401.39","401.67","395.43","396.83","161858.594","2025/12/9 4:59:59"
"2025/12/9 5:00:00","396.83","414.98","392.41","408.19","250342.386","2025/12/9 5:59:59"
