pair,open_date,enter_tag,bucket,base_profit_abs,a1_profit_abs,delta_abs,base_profit_pct,a1_profit_pct,base_exit,a1_exit,base_stake,a1_stake,a1_partial_exits
DOGE/USDT:USDT,2024-06-19 15:00:00+00:00,short_pullback_restart,loss_to_less_loss,-8.84502434,-8.56581869,0.27920564999999975,-4.324826870083479,-4.3248268711870885,stop_loss,stop_loss,204.61973,198.16062,0
BTC/USDT:USDT,2024-06-21 09:00:00+00:00,short_compression_breakdown,same,2.05461284,2.05461284,0.0,0.6462896802979756,0.6462896802979756,stale_flat_120h,stale_flat_120h,318.068,318.068,0
ETH/USDT:USDT,2024-06-21 09:00:00+00:00,short_compression_breakdown,loss_to_less_loss,-8.65973758,-8.40251765,0.25721992999999976,-2.4808366969171507,-2.480836696361732,trailing_stop_loss,trailing_stop_loss,349.23982,338.86636,0
SOL/USDT:USDT,2024-06-21 09:00:00+00:00,short_compression_breakdown,loss_to_less_loss,-8.7741112,-8.46443668,0.30967451999999973,-3.9683869188236347,-3.9683869155142424,stop_loss,stop_loss,221.2108,213.40336,0
TAO/USDT:USDT,2024-06-22 20:00:00+00:00,short_pullback_restart,loss_to_less_loss,-8.67051245,-8.39779569,0.2727167599999998,-3.3857752649897863,-3.385775268632348,stop_loss,stop_loss,256.21458,248.15577,0
XRP/USDT:USDT,2024-06-26 11:00:00+00:00,short_pullback_restart,loss_to_less_loss,-6.53984873,-6.33238417,0.20746456000000002,-1.6693072744907784,-1.6693072743767419,stop_loss,stop_loss,391.9662,379.5318,0
DOGE/USDT:USDT,2024-06-27 06:00:00+00:00,short_compression_breakdown,loss_to_less_loss,-8.64156555,-8.36503545,0.27653009999999867,-3.1770294407228414,-3.1770294398113257,stop_loss,stop_loss,272.1375,263.4291,0
SUI/USDT:USDT,2024-06-29 23:00:00+00:00,short_pullback_restart,loss_to_less_loss,-8.51384624,-8.2442906,0.2695556400000001,-2.9192905288584554,-2.9192905275321306,stop_loss,stop_loss,291.78683,282.54861,0
XRP/USDT:USDT,2024-06-29 23:00:00+00:00,short_pullback_restart,loss_to_less_loss,-4.55329275,-4.40937002,0.1439227299999999,-1.1781398292269722,-1.1781398283344908,stop_loss,stop_loss,386.67486,374.45265,0
BNB/USDT:USDT,2024-07-04 02:00:00+00:00,short_compression_breakdown,profit_to_less_profit,17.7242307,13.6541672,-4.0700635,10.000866956220609,7.945101207642457,roi,trailing_stop_loss,177.3156,85.9712,1
ETH/USDT:USDT,2024-07-04 02:00:00+00:00,short_compression_breakdown,profit_to_less_profit,21.49158976,16.90032815,-4.59126161,9.999983225326778,8.105640029151072,roi,trailing_stop_loss,215.02377,105.90723,1
ETH/USDT:USDT,2024-07-07 08:00:00+00:00,short_pullback_restart,loss_to_profit,-8.71854665,0.08301306,8.801559710000001,-2.793029470230093,0.027657389424387384,stop_loss,trailing_stop_loss,312.30992,300.298,0
ADA/USDT:USDT,2024-07-07 14:00:00+00:00,short_pullback_restart,loss_to_profit,-8.63964846,0.03492316,8.67457162,-4.562781450901164,0.019164116423558593,stop_loss,trailing_stop_loss,189.4452,182.3232,0
DOGE/USDT:USDT,2024-07-10 01:00:00+00:00,short_pullback_restart,loss_to_less_loss,-8.62039191,-8.42115874,0.19923317000000118,-3.3577160262647667,-3.357716022323605,stop_loss,stop_loss,256.86223,250.92567,0
LINK/USDT:USDT,2024-07-11 04:00:00+00:00,short_pullback_restart,loss_to_less_loss,-8.53516682,-8.3364692,0.1986976200000008,-3.5016737539653264,-3.5016737555820456,stop_loss,stop_loss,243.86728,238.19008,0
LINK/USDT:USDT,2024-07-25 19:00:00+00:00,short_compression_breakdown,loss_to_less_loss,-8.32603765,-8.13398522,0.19205243000000038,-4.491318891610285,-4.491318890965965,trailing_stop_loss,trailing_stop_loss,185.47342,181.1952,0
SUI/USDT:USDT,2024-07-30 15:00:00+00:00,short_compression_breakdown,profit_to_less_profit,22.89818667,0.01558414,-22.88260253,10.0043889389751,0.006969891557654675,roi,trailing_stop_loss,228.99591,223.70414,0
LINK/USDT:USDT,2024-07-31 17:00:00+00:00,short_compression_breakdown,profit_to_loss,24.38058383,-0.0138002,-24.394384029999998,10.003499070428603,-0.00579829864309654,roi,trailing_stop_loss,243.84248,238.12336,0
