pair,open_date,enter_tag,baseline_profit_abs,baseline_profit_ratio,variant_profit_abs,variant_profit_ratio,delta_profit_abs,bucket,baseline_exit_reason,variant_exit_reason,baseline_exit_orders,variant_exit_orders
NEAR/USDT:USDT,2024-08-19 00:00:00+00:00,short_pullback_restart,-8.92058454,-0.045804706510299026,-8.56376115,-0.04580470646537023,0.35682339000000063,loss_to_less_loss,stop_loss,stop_loss,1,1
NEAR/USDT:USDT,2024-11-02 13:00:00+00:00,short_compression_breakdown,-1.97538486,-0.006819782769231406,0.04725246,0.00017478592890056386,2.02263732,loss_to_profit,stale_loss_72h,trailing_stop_loss,1,1
NEAR/USDT:USDT,2024-12-30 14:00:00+00:00,short_pullback_restart,-10.10359501,-0.04656067899545999,0.06689615,0.0003488424743169763,10.17049116,loss_to_profit,trailing_stop_loss,trailing_stop_loss,1,1
NEAR/USDT:USDT,2025-01-15 10:00:00+00:00,short_pullback_restart,-10.658898,-0.04270885442721361,-9.613908,-0.04270885442721361,1.0449900000000003,other,stop_loss,stop_loss,1,1
NEAR/USDT:USDT,2025-01-26 22:00:00+00:00,short_pullback_restart,30.86964998,0.10008974355021204,23.15192983,0.08296802699917939,-7.717720149999998,profit_to_less_profit,roi,trailing_stop_loss,1,2
NEAR/USDT:USDT,2025-05-06 11:00:00+00:00,short_compression_breakdown,-14.90412427,-0.0348645781155717,-12.76363833,-0.03486457809479444,2.1404859400000014,loss_to_less_loss,stop_loss,stop_loss,1,1
NEAR/USDT:USDT,2025-06-01 10:00:00+00:00,short_pullback_restart,-13.05406574,-0.03658799217293343,-11.41150117,-0.03658799215148773,1.6425645700000011,loss_to_less_loss,trailing_stop_loss,trailing_stop_loss,1,1
NEAR/USDT:USDT,2025-06-21 14:00:00+00:00,short_pullback_restart,40.81946796,0.10024518385849772,28.26228258,0.08516199026715938,-12.557185379999996,profit_to_less_profit,roi,trailing_stop_loss,1,2
NEAR/USDT:USDT,2025-08-21 12:00:00+00:00,short_pullback_restart,-15.640647,-0.03822620701725308,0.1444729,0.0004074185419997382,15.7851199,loss_to_profit,stop_loss,trailing_stop_loss,1,1
NEAR/USDT:USDT,2025-11-02 15:00:00+00:00,short_pullback_restart,-16.15587627,-0.03908160942256208,-13.83605813,-0.039081609397357775,2.3198181400000006,loss_to_less_loss,stop_loss,stop_loss,1,1
NEAR/USDT:USDT,2025-11-28 02:00:00+00:00,short_pullback_restart,-17.52739743,-0.040954742617090735,-14.37554087,-0.040954742603970716,3.1518565600000006,loss_to_less_loss,stop_loss,stop_loss,1,1
NEAR/USDT:USDT,2025-11-29 15:00:00+00:00,short_compression_breakdown,68.11200794,0.10004915534055409,55.7495377,0.0995739196645368,-12.36247024,profit_to_less_profit,roi,trailing_stop_loss,1,2
NEAR/USDT:USDT,2025-12-14 18:00:00+00:00,short_compression_breakdown,-16.70034684,-0.03199821744123686,-13.8999838,-0.03199821743477994,2.8003630400000024,loss_to_less_loss,trailing_stop_loss,trailing_stop_loss,1,1
NEAR/USDT:USDT,2025-12-31 11:00:00+00:00,short_compression_breakdown,-18.75513103,-0.022744864589870694,0.2861402,0.0004347507086876772,19.04127123,loss_to_profit,stop_loss,trailing_stop_loss,1,1
NEAR/USDT:USDT,2026-01-20 07:00:00+00:00,short_pullback_restart,45.12909037,0.0997408076235427,0.16037181,0.0004411501266603311,-44.96871856,profit_to_less_profit,roi,trailing_stop_loss,1,1
NEAR/USDT:USDT,2026-02-04 14:00:00+00:00,short_pullback_restart,49.70195961,0.10024518200009426,0.31731205,0.0008009293790086644,-49.384647560000005,profit_to_less_profit,roi,trailing_stop_loss,1,1
NEAR/USDT:USDT,2026-04-02 02:00:00+00:00,short_pullback_restart,-19.87398804,-0.04095135414478942,0.28727223,0.0007652792767499655,20.16126027,loss_to_profit,trailing_stop_loss,trailing_stop_loss,1,1
PAXG/USDT:USDT,2025-06-14 00:00:00+00:00,long_1d_center_compression,-13.67901755,-0.020690681339043962,-11.31562708,-0.02069068133310851,2.363390469999999,loss_to_less_loss,stop_loss,stop_loss,1,1
PAXG/USDT:USDT,2025-09-23 00:00:00+00:00,long_1d_center_compression,-17.02890438,-0.023358357463671247,-1.44784222,-0.002378283077396602,15.58106216,loss_to_less_loss,stop_loss,trailing_stop_loss,1,1
PAXG/USDT:USDT,2025-11-11 00:00:00+00:00,long_1d_center_compression,-16.24323028,-0.0212267214674943,-0.15564958,-0.00024251958638821328,16.0875807,loss_to_less_loss,stop_loss,trailing_stop_loss,1,1
PAXG/USDT:USDT,2025-12-12 00:00:00+00:00,long_1d_center_compression,35.52767936,0.04296294593228309,29.63707968,0.04296294594189725,-5.890599680000001,profit_to_more_profit,swing_exit_long_1d,swing_exit_long_1d,1,1
PAXG/USDT:USDT,2026-01-07 00:00:00+00:00,long_1d_center_compression,85.68897781,0.09999960854511805,100.41809748,0.14648573678156335,14.729119670000003,profit_to_more_profit,roi,trailing_stop_loss,1,1
SOL/USDT:USDT,2023-08-24 15:00:00+00:00,short_pullback_restart,-0.3248595,-0.0016461119746561644,-0.25511803,-0.0012217794199271294,0.06974147000000003,loss_to_less_loss,stale_loss_72h,trailing_stop_loss,1,1
SOL/USDT:USDT,2023-09-01 15:00:00+00:00,short_compression_breakdown,-7.78576492,-0.031485333337031456,-8.21254922,-0.031485333357146185,-0.42678429999999956,loss_to_more_loss,stop_loss,stop_loss,1,1
SOL/USDT:USDT,2024-02-09 00:00:00+00:00,long_1d_center_compression,32.17455778,0.10000072311384656,28.36907264,0.08597555705545772,-3.805485140000002,profit_to_less_profit,roi,trailing_stop_loss,1,1
SOL/USDT:USDT,2024-06-06 00:00:00+00:00,long_1d_center_compression,-8.7211094,-0.02154177166816479,-8.7211094,-0.02154177166816479,0.0,same,stop_loss,stop_loss,1,1
SOL/USDT:USDT,2024-06-13 16:00:00+00:00,short_compression_breakdown,-1.80861444,-0.009130436447890713,0.17189948,0.0008742770477215035,1.98051392,loss_to_profit,stale_loss_72h,trailing_stop_loss,1,1
SOL/USDT:USDT,2024-06-21 09:00:00+00:00,short_compression_breakdown,-8.7741112,-0.03968386918823635,-8.72249878,-0.03968386918288388,0.05161241999999966,loss_to_less_loss,stop_loss,stop_loss,1,1
SOL/USDT:USDT,2024-10-21 00:00:00+00:00,long_1d_center_compression,-9.50691381,-0.021177775102734928,-0.08278475,-0.00019769054667505574,9.42412906,loss_to_less_loss,stop_loss,trailing_stop_loss,1,1
SOL/USDT:USDT,2024-12-18 20:00:00+00:00,short_compression_breakdown,27.90995234,0.10000227157106392,0.00068486,2.6769553822954782e-06,-27.90926748,profit_to_less_profit,roi,trailing_stop_loss,1,1
SOL/USDT:USDT,2025-02-05 16:00:00+00:00,short_compression_breakdown,-0.13873769,-0.0004780490724213304,-0.04002576,-0.00015045484185529314,0.09871193,loss_to_less_loss,stale_loss_72h,trailing_stop_loss,1,1
SOL/USDT:USDT,2025-02-16 14:00:00+00:00,short_pullback_restart,36.37930759,0.10000150106814303,34.20276557,0.1032042145224537,-2.1765420200000065,profit_to_more_profit,roi,trailing_stop_loss,1,2
SOL/USDT:USDT,2025-02-24 02:00:00+00:00,short_compression_breakdown,29.25545254,0.10000002590970676,26.59354677,0.10169570310626203,-2.6619057700000006,profit_to_more_profit,roi,trailing_stop_loss,1,2
SOL/USDT:USDT,2025-03-18 14:00:00+00:00,short_compression_breakdown,-11.52604159,-0.032859432381006165,-9.6786621,-0.03285943237520975,1.8473794899999998,loss_to_less_loss,trailing_stop_loss,trailing_stop_loss,1,1
SOL/USDT:USDT,2025-03-30 14:00:00+00:00,short_pullback_restart,-14.20003966,-0.028364240597122052,-11.9266343,-0.02836424060731445,2.27340536,loss_to_more_loss,stop_loss,stop_loss,1,1
SOL/USDT:USDT,2025-04-05 14:00:00+00:00,short_pullback_restart,30.48287553,0.09996890806030412,30.99336736,0.12131592385534183,0.5104918299999994,profit_to_more_profit,roi,trailing_stop_loss,1,2
SOL/USDT:USDT,2025-05-09 00:00:00+00:00,long_1d_center_compression,-14.03628222,-0.021017484503038475,-12.06567117,-0.021017484504068182,1.9706110500000005,loss_to_more_loss,stop_loss,stop_loss,1,1
SOL/USDT:USDT,2025-06-19 15:00:00+00:00,short_pullback_restart,-15.12902626,-0.0309309164952795,-12.29786345,-0.030930916492484892,2.8311628100000004,loss_to_less_loss,stop_loss,stop_loss,1,1
SOL/USDT:USDT,2025-09-11 00:00:00+00:00,long_1d_center_compression,70.78766382,0.09998197934483176,-0.00193762,-3.156234617984416e-06,-70.78960144000001,profit_to_loss,roi,trailing_stop_loss,1,1
