pair,side,entry_tag,open_date,close_date,open_rate,close_rate,profit_abs,profit_ratio,exit_reason,trade_duration,is_short,stake_amount,amount,max_rate,min_rate,fee_open,fee_close,initial_stop_loss_abs,stop_loss_abs,funding_fees
ADA/USDT:USDT,short,short_compression_breakdown,2026-03-27 09:00:00+00:00,2026-04-01 07:00:00+00:00,0.252,0.2519,-0.60659374,-0.0012982868878498633,stale_loss_72h,7080,True,467.46,1855.0,0.2547,0.2324,0.0005,0.0005,0.2671,0.2578,-0.324726489006283
NEAR/USDT:USDT,short,short_pullback_restart,2026-04-02 02:00:00+00:00,2026-04-03 08:00:00+00:00,1.17,1.217,-10.00882771,-0.04095135413778946,trailing_stop_loss,1800,True,244.53,209.0,1.222,1.138,0.0005,0.0005,1.24,1.217,0.0636137878596022
XRP/USDT:USDT,short,short_pullback_restart,2026-03-26 06:00:00+00:00,2026-04-06 08:00:00+00:00,1.388,1.3437,12.08256561,0.029354139324494214,stale_low_profit_240h,15960,True,411.8196,296.7,1.3922,1.277,0.0005,0.0005,1.4712,1.4236,-0.6559966962616794
BNB/USDT:USDT,short,short_pullback_restart,2026-04-01 14:00:00+00:00,2026-04-06 15:00:00+00:00,611.36,607.38,2.71804164,0.0055601473368194175,stale_flat_120h,7260,True,489.088,0.8,619.98,570.71,0.0005,0.0005,648.04,623.4,0.021537644738420243
ADA/USDT:USDT,short,short_compression_breakdown,2026-04-13 00:00:00+00:00,2026-04-13 12:00:00+00:00,0.2359,0.2413,-11.23519559,-0.02426210145915802,stop_loss,720,True,463.3076,1964.0,0.2419,0.2357,0.0005,0.0005,0.25,0.2413,-0.1609851909496552
BTC/USDT:USDT,long,long_1d_center_compression,2026-04-18 00:00:00+00:00,2026-04-18 18:00:00+00:00,77030.6,75490.0,-9.61008214,-0.02078238929345367,stop_loss,1080,False,462.1836,0.006,77380.0,75395.9,0.0005,0.0005,72408.8,75490.0,0.09107966054115946
TAO/USDT:USDT,short,short_compression_breakdown,2026-04-30 15:00:00+00:00,2026-05-01 03:00:00+00:00,247.64,252.29,-7.79041719,-0.019683787050251148,trailing_stop_loss,720,True,395.97636,1.599,253.83,247.21,0.0005,0.0005,262.49,252.29,0.04462684078764456
SOL/USDT:USDT,short,short_compression_breakdown,2026-05-23 08:00:00+00:00,2026-05-23 20:00:00+00:00,82.19,85.41,-9.84715213,-0.0406337451629628,trailing_stop_loss,720,True,242.4605,2.95,87.05,81.63,0.0005,0.0005,87.12,85.41,-0.10094212796360238
XRP/USDT:USDT,short,short_pullback_restart,2026-05-22 07:00:00+00:00,2026-05-25 09:00:00+00:00,1.3599,1.3587,-0.16317601,-0.00033656071987559096,stale_loss_72h,4440,True,485.07633,356.7,1.3756,1.2951,0.0005,0.0005,1.4414,1.3821,-0.10635369917668765
XRP/USDT:USDT,short,short_pullback_restart,2026-05-25 23:00:00+00:00,2026-05-30 01:00:00+00:00,1.3481,1.3479,-0.46369909,-0.000963159738739314,stale_loss_72h,5880,True,481.67613,357.3,1.3654,1.2668,0.0005,0.0005,1.4289,1.3665,-0.05351869071811151
DOGE/USDT:USDT,short,short_pullback_restart,2026-05-31 15:00:00+00:00,2026-06-01 03:00:00+00:00,0.09997,0.10146,-6.55435305,-0.015855933637555532,trailing_stop_loss,720,True,413.57589,4137.0,0.10154,0.09895,0.0005,0.0005,0.10596,0.10146,0.026434904479372204
SOL/USDT:USDT,short,short_pullback_restart,2026-05-31 15:00:00+00:00,2026-06-02 22:00:00+00:00,81.92,73.67,48.05075705,0.09997453460895829,roi,3300,True,480.8704,5.87,83.08,73.27,0.0005,0.0005,86.83,83.39,0.07991370243838634
ADA/USDT:USDT,short,short_pullback_restart,2026-05-31 15:00:00+00:00,2026-06-02 23:00:00+00:00,0.2338,0.2102,48.08852919,0.09994425666686756,roi,3360,True,481.3942,2059.0,0.2375,0.2093,0.0005,0.0005,0.2478,0.2388,-0.046772807446379495
ETH/USDT:USDT,short,short_pullback_restart,2026-06-05 03:00:00+00:00,2026-06-05 16:00:00+00:00,1729.52,1554.84,27.48607365,0.10000165662636644,roi,780,True,274.99368,0.159,1747.0,1546.0,0.0005,0.0005,1833.29,1795.46,-0.026939726156816182
XRP/USDT:USDT,short,short_pullback_restart,2026-06-03 20:00:00+00:00,2026-06-05 18:00:00+00:00,1.2033,1.0814,27.5401155,0.09999391210642027,roi,2760,True,275.5557,229.0,1.2199,1.0796,0.0005,0.0005,1.2754,1.2481,-0.11338634571309279
LINK/USDT:USDT,short,short_pullback_restart,2026-06-05 03:00:00+00:00,2026-06-06 04:00:00+00:00,7.798,7.012,23.87001913,0.09998612580309954,roi,1500,True,238.85274,30.63,7.892,6.987,0.0005,0.0005,8.265,8.156,0.021654280738149626
BTC/USDT:USDT,short,short_pullback_restart,2026-06-07 20:00:00+00:00,2026-06-07 22:00:00+00:00,61303.7,63043.1,-10.8094404,-0.029402379258000075,stop_loss,120,True,367.8222,0.006,64250.0,61189.7,0.0005,0.0005,64981.9,63043.1,0.0
LINK/USDT:USDT,short,short_pullback_restart,2026-06-07 20:00:00+00:00,2026-06-07 22:00:00+00:00,7.591,7.864,-11.8579296,-0.0370001230360932,stop_loss,120,True,320.64384,42.24,8.04,7.566,0.0005,0.0005,8.046,7.864,0.0
BTC/USDT:USDT,short,short_pullback_restart,2026-06-09 14:00:00+00:00,2026-06-11 17:00:00+00:00,62244.4,63592.2,-11.26254354,-0.02262889840052761,stop_loss,3060,True,497.9552,0.008,63643.0,60691.9,0.0005,0.0005,65979.0,63592.2,0.023202856323193556
DOGE/USDT:USDT,short,short_pullback_restart,2026-06-09 16:00:00+00:00,2026-06-11 18:00:00+00:00,0.08407,0.08688,-11.67556629,-0.03423221938608671,stop_loss,3000,True,341.24013,4059.0,0.08698,0.08177,0.0005,0.0005,0.08911,0.08688,0.0771667317183609
