pair,open_date,close_date,side,entry_tag,profit_abs,profit_ratio,duration,open_rate,close_rate,is_short,stake_amount,max_open_trades_config
SUI/USDT:USDT,2025-09-25 01:00:00+00:00,2025-10-01 09:00:00+00:00,short,short_pullback_restart,-3.00588077,-0.01205157680846564,9120,3.3406,3.3811,True,249.54282,4
BNB/USDT:USDT,2025-10-03 00:00:00+00:00,2025-10-06 06:00:00+00:00,long,long_1d_center_compression,36.01913501,0.10000306789405067,4680,1090.91,1201.83,False,360.0003,4
XRP/USDT:USDT,2025-10-09 17:00:00+00:00,2025-10-10 20:00:00+00:00,short,short_compression_breakdown,29.94666858,0.09999992458599224,1620,2.7768,2.4969,True,299.61672,4
PAXG/USDT:USDT,2025-09-23 00:00:00+00:00,2025-10-10 21:00:00+00:00,long,long_1d_center_compression,-8.60223005,-0.023358357470109784,25740,3756.0,3680.88,False,368.088,4
SOL/USDT:USDT,2025-10-19 09:00:00+00:00,2025-10-19 09:00:00+00:00,short,short_pullback_restart,-8.6008338,-0.02291505922452752,0,184.08,188.11,True,375.5232,4
XRP/USDT:USDT,2025-10-19 09:00:00+00:00,2025-10-19 09:00:00+00:00,short,short_pullback_restart,-7.93680615,-0.020795508426828375,0,2.3312,2.3773,True,381.85056,4
ETH/USDT:USDT,2025-10-21 05:00:00+00:00,2025-10-21 14:00:00+00:00,short,short_compression_breakdown,-8.19887082,-0.04262147814961512,540,3849.22,4009.27,True,192.461,4
SOL/USDT:USDT,2025-10-20 17:00:00+00:00,2025-10-21 15:00:00+00:00,short,short_pullback_restart,-8.2930645,-0.04061314686071559,1320,187.43,194.83,True,204.2987,4
NEAR/USDT:USDT,2025-11-02 15:00:00+00:00,2025-11-03 00:00:00+00:00,short,short_pullback_restart,-8.11936346,-0.03908160942848624,540,2.121,2.202,True,207.858,4
ADA/USDT:USDT,2025-11-02 15:00:00+00:00,2025-11-03 15:00:00+00:00,short,short_pullback_restart,24.04799032,0.10003342897410143,1440,0.5998,0.5392,True,240.5198,4
ETH/USDT:USDT,2025-10-29 16:00:00+00:00,2025-11-04 05:00:00+00:00,short,short_compression_breakdown,34.35006724,0.10000072705044213,7980,3950.23,3554.12,True,343.67001,4
DOGE/USDT:USDT,2025-11-06 06:00:00+00:00,2025-11-07 15:00:00+00:00,short,short_pullback_restart,-8.60351557,-0.03447426733032039,1980,0.16373,0.16923,True,249.68825,4
SOL/USDT:USDT,2025-11-06 13:00:00+00:00,2025-11-07 19:00:00+00:00,short,short_pullback_restart,-8.55440527,-0.038017494343389614,1800,157.43,163.263,True,225.1249,4
ETH/USDT:USDT,2025-11-06 13:00:00+00:00,2025-11-07 20:00:00+00:00,short,short_pullback_restart,-8.47932981,-0.0351946256362148,1860,3347.88,3462.93,True,241.04736,4
BTC/USDT:USDT,2025-11-04 06:00:00+00:00,2025-11-09 16:00:00+00:00,short,short_pullback_restart,0.86337649,0.004146374497774663,7800,104164.3,103715.8,True,208.3286,4
ADA/USDT:USDT,2025-11-11 20:00:00+00:00,2025-11-14 12:00:00+00:00,short,short_compression_breakdown,19.49222209,0.09998514769151635,3840,0.5621,0.5055,True,195.0487,4
PAXG/USDT:USDT,2025-11-11 00:00:00+00:00,2025-11-14 13:00:00+00:00,long,long_1d_center_compression,-8.12161514,-0.0212267214674943,5100,4112.06,4029.82,False,382.42158,4
DOGE/USDT:USDT,2025-11-19 06:00:00+00:00,2025-11-21 07:00:00+00:00,short,short_pullback_restart,18.74823234,0.10002160734169332,2940,0.15641,0.14066,True,187.53559,4
SUI/USDT:USDT,2025-11-19 06:00:00+00:00,2025-11-21 07:00:00+00:00,short,short_pullback_restart,16.59641232,0.10002090612811104,2940,1.6228,1.4599,True,166.01244,4
