pair,entry_tag,matrix,period,btc_4h_regime,btc_1d_regime,range_market,false_breakdown,quick_reverse_1h_5h,duration_bucket,trades,profit_abs,profit_pct,pf,maxdd_pct,winrate,avg_profit,avg_duration,avg_MAE,avg_MFE
NEAR/USDT:USDT,short_pullback_restart,period,1y,,,,,,,7,33.6181,3.3618,1.9672,2.4251,42.8571,2.0145,50.0000,3.1096,5.8651
PAXG/USDT:USDT,long_1d_center_compression,period,1y,,,,,,,4,43.9765,4.3977,3.6296,1.6724,50.0000,2.4594,328.5000,5.5253,9.0589
SOL/USDT:USDT,long_1d_center_compression,period,1y,,,,,,,1,35.8419,3.5842,inf,0.0000,100.0000,9.9982,74.0000,1.0494,11.2753
SOL/USDT:USDT,short_compression_breakdown,period,1y,,,,,,,2,-21.2128,-2.1213,0.0000,2.1213,0.0000,-3.6500,26.5000,4.9209,1.7291
SOL/USDT:USDT,short_pullback_restart,period,1y,,,,,,,7,33.1753,3.3175,1.8606,3.8547,28.5714,0.8494,26.2857,3.2575,5.0327
SUI/USDT:USDT,short_compression_breakdown,period,1y,,,,,,,2,-8.4691,-0.8469,0.0916,0.9315,50.0000,-1.2010,62.5000,2.3737,3.8223
SUI/USDT:USDT,short_pullback_restart,period,1y,,,,,,,4,-5.5151,-0.5515,0.7522,1.1128,25.0000,0.0131,62.5000,3.4038,8.2325
TAO/USDT:USDT,short_compression_breakdown,period,1y,,,,,,,4,10.1552,1.0155,1.4471,1.4984,25.0000,0.5132,36.5000,3.0867,4.5782
TAO/USDT:USDT,short_pullback_restart,period,1y,,,,,,,4,18.0102,1.8010,2.6561,1.0570,75.0000,1.8326,74.0000,3.0483,7.2185
XRP/USDT:USDT,short_compression_breakdown,period,1y,,,,,,,4,1.1936,0.1194,1.0415,2.0183,25.0000,0.0647,31.5000,4.0283,4.7613
XRP/USDT:USDT,short_pullback_restart,period,1y,,,,,,,11,47.9266,4.7927,2.3127,1.6293,36.3636,1.2612,76.7273,1.7274,5.1667
ZEC/USDT:USDT,short_compression_breakdown,period,1y,,,,,,,1,26.4258,2.6426,inf,0.0000,100.0000,10.0003,33.0000,0.2576,12.6243
ZEC/USDT:USDT,short_pullback_restart,period,1y,,,,,,,1,-9.7957,-0.9796,0.0000,0.9796,0.0000,-4.2614,9.0000,4.4692,0.9491
ADA/USDT:USDT,long_1d_center_compression,btc_4h_regime,,range,,,,,,1,47.3261,4.7326,inf,0.0000,100.0000,10.0002,3.0000,1.5537,10.4187
ADA/USDT:USDT,long_1d_center_compression,btc_4h_regime,,up,,,,,,1,-7.1508,-0.7151,0.0000,0.7151,0.0000,-2.0875,1.0000,2.8457,1.1754
ADA/USDT:USDT,short_compression_breakdown,btc_4h_regime,,down,,,,,,6,68.4081,6.8408,5.3418,1.3608,33.3333,2.5244,67.3333,2.2388,7.2913
ADA/USDT:USDT,short_compression_breakdown,btc_4h_regime,,range,,,,,,4,2.4211,0.2421,1.0727,2.0763,25.0000,0.9841,77.5000,2.1666,6.1680
ADA/USDT:USDT,short_compression_breakdown,btc_4h_regime,,up,,,,,,3,-25.1374,-2.5137,0.1950,3.1225,33.3333,-1.5873,13.6667,2.9699,1.5020
ADA/USDT:USDT,short_pullback_restart,btc_4h_regime,,down,,,,,,12,226.6839,22.6684,6.5848,2.5953,41.6667,3.1068,44.2500,2.0589,6.5510
