group_type,group_value,window_h,trades,stop_trades,take_profit_trades,stopped_too_early_pct,took_profit_too_early_pct,hold_would_help_pct,hold_would_hurt_pct,avg_future_favorable_pct,avg_future_adverse_pct,avg_future_close_return_pct,period
pair,ETH/USDT:USDT,48,30,14,11,64.28571428571429,63.63636363636363,36.666666666666664,63.33333333333333,4.607266281621694,3.6309612390222386,-0.475490544624595,3y
pair,ETH/USDT:USDT,72,30,14,11,71.42857142857143,72.72727272727273,36.666666666666664,63.33333333333333,5.805914715086978,5.06038715401119,-0.7385541578644115,3y
pair,ETH/USDT:USDT,168,29,14,11,71.42857142857143,72.72727272727273,44.827586206896555,55.172413793103445,9.11535161761578,6.247059659917654,0.6522721686519625,3y
pair,ETH/USDT:USDT,336,28,14,10,71.42857142857143,70.0,57.14285714285714,42.857142857142854,12.262887136822144,10.34883298200957,1.0318049697906087,3y
pair,LINK/USDT:USDT,6,20,13,5,7.6923076923076925,40.0,30.0,70.0,0.9600422723745621,3.130090499196351,-1.9014213796285715,3y
pair,LINK/USDT:USDT,12,20,13,5,7.6923076923076925,40.0,30.0,70.0,1.562328396487803,3.5278140971477177,-1.283691641687499,3y
pair,LINK/USDT:USDT,24,20,13,5,15.384615384615385,60.0,35.0,65.0,2.266260490723348,4.053392922686261,-1.493603584212927,3y
pair,LINK/USDT:USDT,48,20,13,5,46.15384615384615,60.0,70.0,30.0,5.2468041426430965,4.677174719809202,1.1888631713711812,3y
pair,LINK/USDT:USDT,72,20,13,5,61.53846153846154,60.0,65.0,35.0,7.004220556078477,5.229383371976786,0.7582197161791919,3y
pair,LINK/USDT:USDT,168,20,13,5,69.23076923076923,60.0,40.0,60.0,8.899489473668883,9.827585327877689,-2.258063573730517,3y
pair,LINK/USDT:USDT,336,18,12,4,75.0,75.0,66.66666666666666,33.33333333333333,13.318074471156885,12.661702954997823,1.1233164590803553,3y
pair,NEAR/USDT:USDT,6,23,16,6,18.75,33.33333333333333,47.82608695652174,52.17391304347826,2.267170534117689,1.7605426189503712,0.5211378431023743,3y
pair,NEAR/USDT:USDT,12,23,16,6,25.0,50.0,52.17391304347826,47.82608695652174,3.4049291728637634,2.548052957464391,0.22528580925865901,3y
pair,NEAR/USDT:USDT,24,23,16,6,43.75,66.66666666666666,52.17391304347826,47.82608695652174,4.750847914473806,3.0020901601951246,0.34240310773175825,3y
pair,NEAR/USDT:USDT,48,23,16,6,43.75,83.33333333333334,39.130434782608695,60.86956521739131,5.954054901884017,6.147313968687975,-1.5066989535659927,3y
pair,NEAR/USDT:USDT,72,23,16,6,56.25,83.33333333333334,39.130434782608695,60.86956521739131,7.287732260731329,7.3892168226729575,-1.4650509490693993,3y
pair,NEAR/USDT:USDT,168,23,16,6,75.0,83.33333333333334,47.82608695652174,52.17391304347826,10.815238326969405,14.79469061821715,-3.015862450504486,3y
pair,NEAR/USDT:USDT,336,23,16,6,87.5,83.33333333333334,65.21739130434783,34.78260869565217,14.392755731535448,16.65069175398032,1.7015081957818778,3y
pair,PAXG/USDT:USDT,6,5,3,2,33.33333333333333,0.0,80.0,20.0,2.299623011307849,-0.7271456173153855,1.3676686325001575,3y
pair,PAXG/USDT:USDT,12,5,3,2,33.33333333333333,0.0,60.0,40.0,2.3290586319481785,-0.5717750380230076,1.3505324705258952,3y
pair,PAXG/USDT:USDT,24,5,3,2,33.33333333333333,0.0,80.0,20.0,2.444484708546024,-0.5717750380230076,1.7511261382478502,3y
