strategy_label,rule,terms,selected,coverage,hit_rate_reach10,lift_vs_base,selected_avg_final_profit,base_avg_final_profit,proxy_full_profit_from_reach5
Baseline,pair_4h_ema50_slope_3 <= -0.0075 AND pair_4h_close_vs_ema50 <= -0.02,2,18,0.43902439024390244,0.5,0.036585365853658514,0.061262757746442,0.055243053880348544,0.054944625352096495
Baseline,pair_4h_ema50_slope_3 <= -0.0075 AND pair_4h_close_vs_ema50 <= -0.01,2,18,0.43902439024390244,0.5,0.036585365853658514,0.061262757746442,0.055243053880348544,0.054944625352096495
Baseline,pair_4h_ema50_slope_3 <= -0.0075 AND pair_4h_close_vs_ema50 <= 0.0,2,18,0.43902439024390244,0.5,0.036585365853658514,0.061262757746442,0.055243053880348544,0.054944625352096495
Baseline,pair_4h_ema50_slope_3 <= -0.0075 AND pair_1h_ret_6h <= -0.01,2,18,0.43902439024390244,0.5,0.036585365853658514,0.061262757746442,0.055243053880348544,0.054944625352096495
Baseline,pair_4h_ema50_slope_3 <= -0.0075 AND pair_1h_ret_6h <= -0.005,2,18,0.43902439024390244,0.5,0.036585365853658514,0.061262757746442,0.055243053880348544,0.054944625352096495
Baseline,pair_4h_ema50_slope_3 <= -0.0075 AND pair_1h_range_position_24h <= 0.5,2,18,0.43902439024390244,0.5,0.036585365853658514,0.061262757746442,0.055243053880348544,0.054944625352096495
Baseline,pair_4h_ema50_slope_3 <= -0.0075 AND pair_1h_ret_6h <= -0.015,2,17,0.4146341463414634,0.5294117647058824,0.06599713055954087,0.06192329218654102,0.055243053880348544,0.05494380407734628
Baseline,hours_to_5pct <= 32 AND pair_1h_range_position_24h <= 0.2,2,15,0.36585365853658536,0.5333333333333333,0.06991869918699184,0.06347065807657547,0.055243053880348544,0.05492828954021055
Baseline,pair_4h_ema50_slope_3 <= -0.0075 AND btc_1d_close_vs_ema50 <= -0.01,2,14,0.34146341463414637,0.5,0.036585365853658514,0.06442563923458712,0.055243053880348544,0.054925828031322434
Baseline,pair_4h_ema50_slope_3 <= -0.0075 AND btc_1d_close_vs_ema50 <= 0.0,2,14,0.34146341463414637,0.5,0.036585365853658514,0.06442563923458712,0.055243053880348544,0.054925828031322434
Baseline,pair_4h_ema50_slope_3 <= -0.0075 AND btc_1d_close_vs_ema50 <= -0.02,2,13,0.3170731707317073,0.5384615384615384,0.07504690431519695,0.06553271361688162,0.055243053880348544,0.05492500675657222
Baseline,pair_4h_ema50_slope_3 <= -0.0075 AND pair_1h_range_position_24h <= 0.3,2,14,0.34146341463414637,0.5,0.036585365853658514,0.06441839199971582,0.055243053880348544,0.05492335336575663
Baseline,pair_4h_ema50_slope_3 <= -0.0075 AND btc_1d_close_vs_ema50 <= -0.03,2,12,0.2926829268292683,0.5833333333333334,0.11991869918699188,0.06681063302678932,0.055243053880348544,0.05492018527613347
Baseline,adverse_before_5pct <= 0.014 AND pair_1h_range_position_24h <= 0.2,2,18,0.43902439024390244,0.6111111111111112,0.14769647696476967,0.06119617959047289,0.055243053880348544,0.05491539591776858
Baseline,hours_to_5pct <= 28 AND pair_1h_range_position_24h <= 0.2,2,13,0.3170731707317073,0.5384615384615384,0.07504690431519695,0.06544877402332037,0.055243053880348544,0.05489839176349183
Baseline,hours_to_5pct <= 32 AND pair_1h_range_position_24h <= 0.3,2,21,0.5121951219512195,0.5238095238095238,0.06039488966318235,0.05952286810261306,0.055243053880348544,0.05487756658914327
Baseline,hours_to_5pct <= 32 AND pair_1h_ret_6h <= -0.02,2,24,0.5853658536585366,0.5416666666666666,0.07825203252032514,0.05832400540506307,0.055243053880348544,0.054872588529793015
Baseline,adverse_before_5pct <= 0.014 AND pair_1h_range_position_24h <= 0.3,2,24,0.5853658536585366,0.5833333333333334,0.11991869918699188,0.0583104829847814,0.055243053880348544,0.05486467296670131
Baseline,hours_to_5pct <= 32 AND pair_1h_range_position_24h <= 0.4,2,27,0.6585365853658537,0.5185185185185185,0.055103884372177,0.057374378506922966,0.055243053880348544,0.0548562980411444
Baseline,adverse_before_5pct <= 0.014 AND pair_1h_ret_6h <= -0.02,2,24,0.5853658536585366,0.5833333333333334,0.11991869918699188,0.058286964326155245,0.055243053880348544,0.054850905947017706
