pair,open_date,close_date,bars,profit_positive_bars,profit_in_cap_bars,probe_signal_bars,profit_and_probe_bars,profit_and_tag_bars,profit_and_probe_first,profit_and_probe_max,final_profit,max_profit
SOL/USDT:USDT,2026-02-03 15:00:00+00:00,2026-02-03 20:30:00+00:00,5,4,3,0,0,0,,,-7.498078271126038e-05,0.041476483429251906
BTC/USDT:USDT,2026-02-03 17:00:00+00:00,2026-02-03 20:30:00+00:00,3,3,2,0,0,0,,,1.0475010531572972e-06,0.04667910047581555
NEAR/USDT:USDT,2026-02-04 14:00:00+00:00,2026-02-04 16:10:00+00:00,2,2,2,0,0,0,,,0.0008009293781944364,0.024158757549611755
BNB/USDT:USDT,2026-02-09 08:00:00+00:00,2026-02-09 13:20:00+00:00,5,5,5,0,0,0,,,1.3411786212802531e-05,0.025132547281791557
ADA/USDT:USDT,2026-02-10 07:00:00+00:00,2026-02-11 14:10:00+00:00,31,16,13,0,0,0,,,-0.0002029498915629388,0.03854961832061068
DOGE/USDT:USDT,2026-02-10 07:00:00+00:00,2026-02-11 15:10:00+00:00,32,27,17,0,0,1,,,0.053496943603998995,0.05595455032693753
ETH/USDT:USDT,2026-02-17 15:00:00+00:00,2026-02-17 16:35:00+00:00,1,0,0,0,0,0,,,-0.032092697138305794,0.0038715308977946465
XRP/USDT:USDT,2026-02-22 13:00:00+00:00,2026-02-23 01:20:00+00:00,12,12,10,0,0,0,,,0.05177373703457082,0.05390242170300395
BNB/USDT:USDT,2026-03-22 00:00:00+00:00,2026-03-23 11:05:00+00:00,35,22,22,0,0,0,,,-0.02724279698377171,0.016325818274127726
XRP/USDT:USDT,2026-03-22 00:00:00+00:00,2026-03-23 11:05:00+00:00,35,28,28,0,0,0,,,-1.1947373248310105e-05,0.0335913642496981
SUI/USDT:USDT,2026-03-22 00:00:00+00:00,2026-03-23 11:05:00+00:00,35,28,22,0,0,0,,,2.8945806538676586e-05,0.04504987664914731
XRP/USDT:USDT,2026-03-26 06:00:00+00:00,2026-03-29 22:10:00+00:00,88,88,29,0,0,0,,,0.05002428906026087,0.05439481268011521
ETH/USDT:USDT,2026-03-27 11:00:00+00:00,2026-03-29 23:00:00+00:00,60,15,15,0,0,1,,,-0.00039761299644940323,0.02671270398906367
BNB/USDT:USDT,2026-04-01 14:00:00+00:00,2026-04-02 11:15:00+00:00,21,13,4,0,0,1,,,0.052535259151326494,0.05392894530227693
NEAR/USDT:USDT,2026-04-02 02:00:00+00:00,2026-04-02 14:35:00+00:00,12,12,12,0,0,0,,,0.0007652792837183398,0.027350427350427375
XRP/USDT:USDT,2026-04-02 02:00:00+00:00,2026-04-03 12:25:00+00:00,34,34,34,0,0,0,,,-0.00035032469034454146,0.036386921802018996
XRP/USDT:USDT,2026-04-05 06:00:00+00:00,2026-04-05 23:15:00+00:00,17,9,9,0,0,0,,,-0.019159940941377962,0.017541160178489116
XRP/USDT:USDT,2026-05-22 07:00:00+00:00,2026-05-23 20:35:00+00:00,37,32,29,0,0,1,,,-0.00019651127266381196,0.047650562541363475
XRP/USDT:USDT,2026-05-25 23:00:00+00:00,2026-05-28 03:55:00+00:00,52,47,43,0,0,0,,,0.05072038335375298,0.05311178695942445
DOGE/USDT:USDT,2026-05-31 15:00:00+00:00,2026-06-01 03:30:00+00:00,12,6,6,0,0,0,,,-0.015855933644841617,0.010203060918275553
ADA/USDT:USDT,2026-05-31 15:00:00+00:00,2026-06-02 14:10:00+00:00,47,39,28,0,0,0,,,0.05252789590804952,0.05346449957228405
SOL/USDT:USDT,2026-05-31 15:00:00+00:00,2026-06-02 14:25:00+00:00,47,39,33,0,0,0,,,0.05113838793186053,0.05627441406249999
XRP/USDT:USDT,2026-06-03 20:00:00+00:00,2026-06-04 03:15:00+00:00,7,4,3,0,0,0,,,3.7299273438168575e-05,0.05202360176182164
ETH/USDT:USDT,2026-06-05 03:00:00+00:00,2026-06-05 06:25:00+00:00,3,2,1,0,0,0,,,0.051465325729148866,0.06198829733105141
LINK/USDT:USDT,2026-06-05 03:00:00+00:00,2026-06-05 06:25:00+00:00,3,2,1,0,0,0,,,0.05239988550315168,0.05988715055142339
XRP/USDT:USDT,2026-06-05 03:00:00+00:00,2026-06-05 07:35:00+00:00,4,2,2,0,0,0,,,5.829269857493754e-05,0.038783605112384344
BNB/USDT:USDT,2026-06-05 06:25:00+00:00,2026-06-05 20:05:00+00:00,14,2,2,0,0,0,,,5.435567237371163e-05,0.027962995287135594
BTC/USDT:USDT,2026-06-07 20:00:00+00:00,2026-06-07 22:10:00+00:00,2,0,0,0,0,0,,,-0.02940237925800008,0.0018595941191151596
LINK/USDT:USDT,2026-06-07 20:00:00+00:00,2026-06-07 22:10:00+00:00,2,0,0,0,0,0,,,-0.03700012303609321,0.0032933737320511598
BTC/USDT:USDT,2026-06-09 14:00:00+00:00,2026-06-09 20:10:00+00:00,6,6,6,0,0,0,,,7.3474439475454134e-06,0.02392825699982651
ETH/USDT:USDT,2026-06-09 15:00:00+00:00,2026-06-10 12:30:00+00:00,21,16,16,0,0,0,,,-0.0001343730654764697,0.02426272562024675
DOGE/USDT:USDT,2026-06-09 16:00:00+00:00,2026-06-11 01:15:00+00:00,33,18,18,0,0,0,,,0.0001528499987522001,0.02735815391935304
