group_type,group_value,extreme_event_count,final_signal_count,sample_status,pf_proxy_72h,avg_return_6h_pct,avg_return_24h_pct,avg_return_72h_pct,avg_mfe_24h_pct,avg_mae_24h_pct,avg_mfe_72h_pct,avg_mae_72h_pct,first_to_1r_pct,first_to_2r_pct,first_to_stop_pct,avg_max_r,avg_min_r,avg_lower_wick_pct,avg_upper_wick_pct,avg_volume_ratio,low_sweep_reclaim_pct,high_sweep_reject_pct,combination
combination,A_120h_weak,565,15,insufficient,0.1277115637740589,-0.3162791670159663,-1.2188057104470773,-2.6220127504748283,2.218516215608692,4.076417121327506,3.1982774987011924,7.687722877496316,20.0,0.0,53.333333333333336,0.7438341664885632,-1.4469263313857366,10.214393418949662,12.813627300810653,4.804334721541813,6.666666666666667,33.33333333333333,A_120h_weak
side,long,205,2,insufficient,0.0,2.679869268812085,-1.0654780340509484,-0.6002268013570011,3.6981906005798315,4.106450771178572,3.6981906005798315,4.106450771178572,0.0,0.0,50.0,0.9876773048988119,-1.1267736760079314,3.799111638535777,14.837839335359027,3.6988632415250606,0.0,0.0,A_120h_weak
side,short,360,13,insufficient,0.13120480995288036,-0.7772250802202818,-1.2423945837387895,-2.933056742646802,1.990874002536209,4.0717965598119585,3.121367790719863,8.238687816929815,23.076923076923077,0.0,53.84615384615385,0.7063198375023709,-1.4961805860592452,11.201359846705644,12.502210064726288,4.974407256929006,7.6923076923076925,38.46153846153847,A_120h_weak
pair,BNB/USDT:USDT,47,1,insufficient,0.0,-0.5643340857787726,-1.666691805306253,-3.0817488515914038,0.34512378439733715,2.3499095008743036,0.34512378439733715,5.245881522839515,0.0,0.0,100.0,0.18645421461197442,-2.8341040621020057,21.334259902710585,11.466296038915766,3.954456552628203,0.0,100.0,A_120h_weak
pair,BTC/USDT:USDT,58,1,insufficient,inf,-0.007850496637373805,-1.3826006164555316,0.41973269259647505,0.5106962067908335,2.7374213954044846,1.449465002729199,2.7374213954044846,0.0,0.0,100.0,0.5531137465384152,-1.044596041308814,18.318896374719355,4.3150465190890905,4.254952652254201,0.0,0.0,A_120h_weak
pair,ETH/USDT:USDT,64,3,insufficient,0.7479419340626352,0.2038074127940733,-1.0568033971134225,-0.06006841456035842,2.93995554477083,3.4789465294128425,3.103330682918923,5.002291648479817,33.33333333333333,0.0,66.66666666666666,1.0497239312595548,-1.6521951680711762,9.50768127099549,22.382392947086842,3.0579961201525876,0.0,33.33333333333333,A_120h_weak
pair,LINK/USDT:USDT,35,1,insufficient,inf,-0.2744912446758119,-0.8096403690453835,3.142437591776792,1.4236902050113929,2.182991647684135,4.7930903568716685,2.524677296886864,100.0,0.0,0.0,1.4017524997658197,-0.7383488414608095,24.090909090909086,7.499999999999889,4.4563549126270114,0.0,100.0,A_120h_weak
pair,NEAR/USDT:USDT,36,1,insufficient,0.0,0.979112271540461,-0.45045045045045695,-2.1505376344086002,2.391725921137681,2.650290885585013,2.844214608920494,9.2436974789916,0.0,0.0,100.0,0.5205409383670775,-1.6917580496930007,13.402061855670002,9.278350515463814,5.804949220648418,100.0,100.0,A_120h_weak
pair,PAXG/USDT:USDT,34,2,insufficient,2.3670160818668906,-0.03026876683433488,0.08682578583175116,0.47975886836887915,0.7524138362652273,0.4513802713344366,1.881303380580221,1.1520613305850342,50.0,0.0,0.0,1.0316189908390612,-0.6991137378339495,5.091103965701797,1.7761445414176444,4.8758249729487915,0.0,0.0,A_120h_weak
pair,SUI/USDT:USDT,42,1,insufficient,0.0,0.07057163020465218,0.7920389926888705,-5.959261013737571,2.982067298005246,2.0350594398549147,3.667136812411846,11.394317952851084,0.0,0.0,100.0,0.8085876915706882,-2.5123974702374934,15.258855585831169,0.0,5.274881973338971,0.0,0.0,A_120h_weak
pair,TAO/USDT:USDT,18,3,insufficient,0.0,0.18713779959989388,-2.0722605468680837,-7.000898319149022,2.202779753981646,6.887998611412186,2.6226990002804356,14.734370641165304,0.0,0.0,33.33333333333333,0.40070397180015144,-1.5316355938572919,7.162607799434504,7.84535265874874,4.234770835428313,0.0,0.0,A_120h_weak
