variant,pair,open_date,enter_tag,baseline_profit_abs,baseline_profit_ratio,variant_profit_abs,variant_profit_ratio,delta_profit_abs,bucket,baseline_exit_reason,variant_exit_reason,baseline_partials,variant_partials,baseline_exit_orders,variant_exit_orders
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,PAXG/USDT:USDT,2025-06-14 00:00:00+00:00,long_1d_center_compression,-9.88326922,-0.020690681329398494,-10.24135869,-0.02069068134052482,-0.35808946999999947,loss_to_more_loss,stop_loss,stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,PAXG/USDT:USDT,2025-09-23 00:00:00+00:00,long_1d_center_compression,-1.27803356,-0.0023782830688962283,-1.33165735,-0.0023782830765146476,-0.05362379000000006,loss_to_more_loss,trailing_stop_loss,trailing_stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,PAXG/USDT:USDT,2025-11-11 00:00:00+00:00,long_1d_center_compression,-0.13469675,-0.0002425195829257406,-0.14068327,-0.0002425195790949198,-0.005986519999999995,loss_to_less_loss,trailing_stop_loss,trailing_stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,PAXG/USDT:USDT,2025-12-12 00:00:00+00:00,long_1d_center_compression,25.40321115,0.04296294593464907,26.32361735,0.042962945932875043,0.9204061999999986,profit_to_less_profit,swing_exit_long_1d,swing_exit_long_1d,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,PAXG/USDT:USDT,2026-01-07 00:00:00+00:00,long_1d_center_compression,71.93358242,0.12175514789867557,74.58377469,0.1215996681229956,2.650192270000005,bigwin_less_profit,swing_exit_long_1d,swing_exit_long_1d,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,SOL/USDT:USDT,2023-08-24 15:00:00+00:00,short_pullback_restart,-0.24604371,-0.001221779420785025,-0.24604371,-0.001221779420785025,0.0,same,trailing_stop_loss,trailing_stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,SOL/USDT:USDT,2023-09-01 15:00:00+00:00,short_compression_breakdown,-7.91989713,-0.03148533334926607,-7.91989713,-0.03148533334926607,0.0,same,stop_loss,stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,SOL/USDT:USDT,2024-02-09 00:00:00+00:00,long_1d_center_compression,26.087363500000002,0.0753069710925,26.087363500000002,0.0753069710925,0.0,same,trailing_stop_loss,trailing_stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,SOL/USDT:USDT,2024-06-06 00:00:00+00:00,long_1d_center_compression,-8.53396113,-0.021541771669139818,-8.53396113,-0.021541771669139818,0.0,same,stop_loss,stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,SOL/USDT:USDT,2024-06-13 16:00:00+00:00,short_compression_breakdown,0.16676815,0.0008742770359846302,0.16676815,0.0008742770359846302,0.0,same,trailing_stop_loss,trailing_stop_loss,0,0,1,1
