pair,entry_tag,matrix,quick_reverse_1h_5h,false_breakdown,range_market,trades,profit_abs,profit_pct,pf,maxdd_pct,winrate,avg_profit,avg_duration,avg_MAE,avg_MFE
BTC/USDT:USDT,short_pullback_restart,false_breakdown_3y,,True,,6,-64.8783,-6.4878,0.0000,6.4878,0.0000,-1.8165,14.3333,2.9022,0.5868
DOGE/USDT:USDT,long_1d_center_compression,false_breakdown_3y,,False,,2,34.3382,3.4338,5.8117,0.7136,50.0000,3.9521,8.0000,1.6881,5.7500
DOGE/USDT:USDT,short_compression_breakdown,false_breakdown_3y,,False,,2,59.2096,5.9210,inf,0.0000,100.0000,10.0007,16.5000,0.6461,11.3802
DOGE/USDT:USDT,short_compression_breakdown,false_breakdown_3y,,True,,3,28.9404,2.8940,3.7540,1.0509,33.3333,2.0774,66.3333,2.4888,4.9460
DOGE/USDT:USDT,short_pullback_restart,false_breakdown_3y,,False,,4,-12.2339,-1.2234,0.6369,3.2986,25.0000,1.0645,36.0000,1.8851,5.3921
DOGE/USDT:USDT,short_pullback_restart,false_breakdown_3y,,True,,9,45.6975,4.5698,1.5883,3.7861,33.3333,1.1202,24.8889,2.9284,5.6122
ETH/USDT:USDT,long_1d_center_compression,false_breakdown_3y,,False,,6,94.7134,9.4713,3.1596,2.8818,33.3333,1.9134,31.5000,1.7583,4.0055
ETH/USDT:USDT,short_compression_breakdown,false_breakdown_3y,,False,,3,22.8272,2.2827,3.5060,0.9109,33.3333,2.4720,37.3333,1.2425,5.4304
ETH/USDT:USDT,short_compression_breakdown,false_breakdown_3y,,True,,3,73.7199,7.3720,5.4957,1.6048,66.6667,5.2460,55.3333,2.4476,7.4464
ETH/USDT:USDT,short_pullback_restart,false_breakdown_3y,,False,,10,118.9669,11.8967,3.1898,2.8409,40.0000,2.6949,42.2000,1.9055,6.9693
ETH/USDT:USDT,short_pullback_restart,false_breakdown_3y,,True,,8,35.5311,3.5531,1.6881,2.3806,25.0000,1.0766,37.7500,2.2366,4.2205
LINK/USDT:USDT,long_1d_center_compression,false_breakdown_3y,,False,,1,-7.1684,-0.7168,0.0000,0.7168,0.0000,-2.1406,34.0000,2.0190,0.7555
LINK/USDT:USDT,short_compression_breakdown,false_breakdown_3y,,False,,3,0.5507,0.0551,1.0230,1.4688,33.3333,1.0805,25.6667,2.9735,3.9640
LINK/USDT:USDT,short_compression_breakdown,false_breakdown_3y,,True,,4,-40.9899,-4.0990,0.0000,4.0990,0.0000,-3.2443,37.5000,4.3586,1.8991
LINK/USDT:USDT,short_pullback_restart,false_breakdown_3y,,False,,5,64.0277,6.4028,4.4175,1.8735,40.0000,2.7872,40.4000,2.2408,7.7827
LINK/USDT:USDT,short_pullback_restart,false_breakdown_3y,,True,,7,9.6723,0.9672,1.1417,4.3448,28.5714,0.5926,23.7143,3.8145,3.6717
NEAR/USDT:USDT,long_1d_center_compression,false_breakdown_3y,,False,,2,-16.7279,-1.6728,0.0000,1.6728,0.0000,-2.2072,21.5000,2.6805,4.4312
NEAR/USDT:USDT,short_compression_breakdown,false_breakdown_3y,,False,,4,17.5116,1.7512,1.3499,3.3453,25.0000,0.2610,20.2500,2.6748,4.0094
NEAR/USDT:USDT,short_compression_breakdown,false_breakdown_3y,,True,,2,-12.3086,-1.2309,0.0000,1.2309,0.0000,-2.5100,48.5000,2.6454,6.3007
NEAR/USDT:USDT,short_pullback_restart,false_breakdown_3y,,False,,8,40.4166,4.0417,1.5312,4.6038,37.5000,1.4594,44.3750,2.7632,5.4784
NEAR/USDT:USDT,short_pullback_restart,false_breakdown_3y,,True,,7,23.1020,2.3102,1.4557,4.1982,28.5714,-0.0803,25.4286,3.8074,4.4664
PAXG/USDT:USDT,long_1d_center_compression,false_breakdown_3y,,False,,5,73.3545,7.3355,2.5682,4.6776,40.0000,1.5537,280.0000,4.8228,7.4512
SOL/USDT:USDT,long_1d_center_compression,false_breakdown_3y,,False,,5,71.1381,7.1138,3.1998,3.1314,40.0000,2.7249,41.2000,1.9051,5.3058
SOL/USDT:USDT,short_compression_breakdown,false_breakdown_3y,,False,,4,48.9447,4.8945,6.8046,0.7847,50.0000,4.1625,46.2500,1.4649,9.1965
SOL/USDT:USDT,short_compression_breakdown,false_breakdown_3y,,True,,5,-64.3054,-6.4305,0.0000,6.4305,0.0000,-3.1062,30.0000,3.8088,1.9934
SOL/USDT:USDT,short_pullback_restart,false_breakdown_3y,,False,,5,155.4273,15.5427,7.7357,1.4561,60.0000,4.5639,58.4000,2.7148,10.0265
SOL/USDT:USDT,short_pullback_restart,false_breakdown_3y,,True,,6,-44.9138,-4.4914,0.4043,6.0248,16.6667,-0.6263,14.1667,3.1780,2.6308
SUI/USDT:USDT,long_1d_center_compression,false_breakdown_3y,,False,,1,-8.8656,-0.8866,0.0000,0.8866,0.0000,-2.1463,0.0000,3.2005,4.3219
SUI/USDT:USDT,short_compression_breakdown,false_breakdown_3y,,False,,6,49.3251,4.9325,4.5482,1.3901,50.0000,2.4529,59.6667,2.5404,6.7381
SUI/USDT:USDT,short_compression_breakdown,false_breakdown_3y,,True,,1,-18.4078,-1.8408,0.0000,1.8408,0.0000,-2.8986,3.0000,3.3882,0.2228
SUI/USDT:USDT,short_pullback_restart,false_breakdown_3y,,False,,4,53.7026,5.3703,4.7013,0.8337,50.0000,3.9691,92.5000,1.2641,8.6423
SUI/USDT:USDT,short_pullback_restart,false_breakdown_3y,,True,,7,20.2500,2.0250,1.2919,3.1302,28.5714,0.5514,23.4286,2.9482,5.7332
TAO/USDT:USDT,short_compression_breakdown,false_breakdown_3y,,False,,1,-15.4298,-1.5430,0.0000,1.5430,0.0000,-1.9684,12.0000,2.4996,0.1736
TAO/USDT:USDT,short_compression_breakdown,false_breakdown_3y,,True,,3,35.4045,3.5405,2.1996,1.4504,33.3333,1.3404,44.6667,3.2825,6.0465
TAO/USDT:USDT,short_pullback_restart,false_breakdown_3y,,False,,4,105.2821,10.5282,inf,0.0000,100.0000,7.7258,59.5000,1.0068,9.4041
TAO/USDT:USDT,short_pullback_restart,false_breakdown_3y,,True,,4,-37.5085,-3.7509,0.0859,3.7509,25.0000,-2.9881,39.7500,4.7351,3.2601
XRP/USDT:USDT,long_1d_center_compression,false_breakdown_3y,,False,,3,26.6345,2.6635,2.3210,1.0094,33.3333,1.9021,21.3333,1.9045,7.7271
XRP/USDT:USDT,short_compression_breakdown,false_breakdown_3y,,False,,2,27.0337,2.7034,4.6576,0.7391,50.0000,3.9493,68.0000,1.1942,6.8130
XRP/USDT:USDT,short_compression_breakdown,false_breakdown_3y,,True,,8,-15.6562,-1.5656,0.8024,3.9790,25.0000,-0.6730,44.5000,3.4527,4.5347
XRP/USDT:USDT,short_pullback_restart,false_breakdown_3y,,False,,12,86.8962,8.6896,2.4616,2.5077,33.3333,0.7950,94.0000,1.8465,5.5196
XRP/USDT:USDT,short_pullback_restart,false_breakdown_3y,,True,,11,-31.5288,-3.1529,0.6338,8.6092,9.0909,-0.6691,35.0909,2.1645,2.5177
ZEC/USDT:USDT,short_compression_breakdown,false_breakdown_3y,,False,,2,75.5986,7.5599,inf,0.0000,100.0000,9.9981,48.5000,1.3837,11.6904
ZEC/USDT:USDT,short_compression_breakdown,false_breakdown_3y,,True,,1,29.6836,2.9684,inf,0.0000,100.0000,10.0164,48.0000,1.3551,10.3738
ZEC/USDT:USDT,short_pullback_restart,false_breakdown_3y,,False,,7,152.3953,15.2395,19.3325,0.8313,71.4286,6.7347,40.2857,1.2881,12.3298
ZEC/USDT:USDT,short_pullback_restart,false_breakdown_3y,,True,,3,-35.3233,-3.5323,0.0000,3.5323,0.0000,-2.7780,30.6667,3.4248,1.4986
ADA/USDT:USDT,long_1d_center_compression,range_market_3y,,,False,2,40.1753,4.0175,6.6183,0.7151,50.0000,3.9563,2.0000,2.1997,5.7971
ADA/USDT:USDT,short_compression_breakdown,range_market_3y,,,False,10,41.2114,4.1211,1.8404,2.5638,30.0000,1.0233,61.2000,2.3989,6.1318
ADA/USDT:USDT,short_compression_breakdown,range_market_3y,,,True,3,4.4804,0.4480,1.1435,2.1679,33.3333,1.3627,47.6667,2.3399,3.8694
ADA/USDT:USDT,short_pullback_restart,range_market_3y,,,False,10,110.5960,11.0596,2.8009,3.4100,40.0000,2.5719,50.6000,2.4772,7.3195
ADA/USDT:USDT,short_pullback_restart,range_market_3y,,,True,7,89.4991,8.9499,3.2979,3.3592,28.5714,1.3859,22.2857,1.8848,4.7213
BNB/USDT:USDT,long_1d_center_compression,range_market_3y,,,False,1,-15.6392,-1.5639,0.0000,1.5639,0.0000,-2.1180,13.0000,3.2171,2.5769
BNB/USDT:USDT,long_1d_center_compression,range_market_3y,,,True,6,116.8574,11.6857,4.8049,2.8555,50.0000,4.1003,69.6667,1.2991,7.4183
BNB/USDT:USDT,short_compression_breakdown,range_market_3y,,,True,1,17.7242,1.7724,inf,0.0000,100.0000,10.0009,24.0000,1.1967,13.3831
BNB/USDT:USDT,short_pullback_restart,range_market_3y,,,False,8,78.6739,7.8674,2.3683,2.4314,50.0000,2.2897,55.8750,2.4624,6.3154
BNB/USDT:USDT,short_pullback_restart,range_market_3y,,,True,3,-21.3996,-2.1400,0.2016,2.6802,33.3333,-1.8269,53.0000,2.8230,3.1362
BTC/USDT:USDT,long_1d_center_compression,range_market_3y,,,False,4,1.6321,0.1632,1.0519,3.0451,25.0000,1.2176,140.7500,1.7194,4.6547
BTC/USDT:USDT,long_1d_center_compression,range_market_3y,,,True,9,84.8679,8.4868,2.5280,3.0997,33.3333,2.0401,66.6667,1.5603,5.3655
BTC/USDT:USDT,short_compression_breakdown,range_market_3y,,,False,3,-15.7422,-1.5742,0.0000,1.5742,0.0000,-1.8359,27.6667,2.1879,1.9193
BTC/USDT:USDT,short_compression_breakdown,range_market_3y,,,True,4,109.9162,10.9916,13.7360,0.8369,75.0000,4.3258,78.2500,1.3667,8.3314
BTC/USDT:USDT,short_pullback_restart,range_market_3y,,,False,12,66.2194,6.6219,1.7167,4.1312,33.3333,1.3306,49.2500,2.0766,5.0286
BTC/USDT:USDT,short_pullback_restart,range_market_3y,,,True,5,-34.5551,-3.4555,0.0136,3.5033,20.0000,-1.6237,42.8000,2.3465,2.2014
DOGE/USDT:USDT,long_1d_center_compression,range_market_3y,,,False,1,41.4745,4.1475,inf,0.0000,100.0000,10.0009,16.0000,0.5762,11.3562
DOGE/USDT:USDT,long_1d_center_compression,range_market_3y,,,True,1,-7.1363,-0.7136,0.0000,0.7136,0.0000,-2.0967,0.0000,2.7999,0.1439
DOGE/USDT:USDT,short_compression_breakdown,range_market_3y,,,False,5,88.1500,8.8150,9.3884,0.8707,60.0000,5.2467,46.4000,1.7517,7.5197
DOGE/USDT:USDT,short_pullback_restart,range_market_3y,,,False,11,53.7249,5.3725,1.5896,4.0854,36.3636,1.6392,32.0000,2.7533,6.4467
DOGE/USDT:USDT,short_pullback_restart,range_market_3y,,,True,2,-20.2613,-2.0261,0.0000,2.0261,0.0000,-1.8454,8.0000,1.8050,0.5824
ETH/USDT:USDT,long_1d_center_compression,range_market_3y,,,False,3,45.3876,4.5388,3.0989,2.1625,33.3333,1.9054,40.0000,1.6977,3.9039
ETH/USDT:USDT,long_1d_center_compression,range_market_3y,,,True,3,49.3258,4.9326,3.2186,1.4130,33.3333,1.9215,23.0000,1.8188,4.1072
ETH/USDT:USDT,short_compression_breakdown,range_market_3y,,,False,1,-16.3977,-1.6398,0.0000,1.6398,0.0000,-4.2621,9.0000,4.5297,0.2860
ETH/USDT:USDT,short_compression_breakdown,range_market_3y,,,True,5,112.9449,11.2945,13.3992,0.9109,60.0000,5.4832,53.8000,1.3081,7.6689
ETH/USDT:USDT,short_pullback_restart,range_market_3y,,,False,15,135.9717,13.5972,2.4451,2.8656,33.3333,1.8834,38.0000,2.2261,5.4734
ETH/USDT:USDT,short_pullback_restart,range_market_3y,,,True,3,18.5262,1.8526,2.5608,1.1061,33.3333,2.4367,51.3333,1.1857,7.1188
LINK/USDT:USDT,long_1d_center_compression,range_market_3y,,,True,1,-7.1684,-0.7168,0.0000,0.7168,0.0000,-2.1406,34.0000,2.0190,0.7555
LINK/USDT:USDT,short_compression_breakdown,range_market_3y,,,False,6,-18.0581,-1.8058,0.5759,2.4849,16.6667,-0.8744,33.6667,3.5110,3.1349
LINK/USDT:USDT,short_compression_breakdown,range_market_3y,,,True,1,-22.3811,-2.2381,0.0000,2.2381,0.0000,-4.4897,25.0000,5.2889,0.6790
LINK/USDT:USDT,short_pullback_restart,range_market_3y,,,False,12,73.7001,7.3700,1.8471,2.7998,33.3333,1.5070,30.6667,3.1588,5.3846
NEAR/USDT:USDT,long_1d_center_compression,range_market_3y,,,False,2,-16.7279,-1.6728,0.0000,1.6728,0.0000,-2.2072,21.5000,2.6805,4.4312
NEAR/USDT:USDT,short_compression_breakdown,range_market_3y,,,False,5,23.8217,2.3822,1.5447,2.7133,20.0000,-0.3403,30.8000,2.7447,5.2878
NEAR/USDT:USDT,short_compression_breakdown,range_market_3y,,,True,1,-18.6187,-1.8619,0.0000,1.8619,0.0000,-2.2745,24.0000,2.2667,2.2000
NEAR/USDT:USDT,short_pullback_restart,range_market_3y,,,False,14,70.7784,7.0778,1.5922,4.6895,35.7143,0.9660,36.5714,3.3165,5.1869
NEAR/USDT:USDT,short_pullback_restart,range_market_3y,,,True,1,-7.2598,-0.7260,0.0000,0.7260,0.0000,-2.4110,21.0000,2.3256,2.4756
PAXG/USDT:USDT,long_1d_center_compression,range_market_3y,,,True,5,73.3545,7.3355,2.5682,4.6776,40.0000,1.5537,280.0000,4.8228,7.4512
SOL/USDT:USDT,long_1d_center_compression,range_market_3y,,,False,2,61.2098,6.1210,7.3908,0.9578,50.0000,3.9402,43.5000,2.3375,6.9846
SOL/USDT:USDT,long_1d_center_compression,range_market_3y,,,True,3,9.9283,0.9928,1.4362,2.2040,33.3333,1.9147,39.6667,1.6168,4.1867
SOL/USDT:USDT,short_compression_breakdown,range_market_3y,,,False,8,-7.5139,-0.7514,0.8842,5.1176,25.0000,0.5335,34.3750,2.6865,5.6087
SOL/USDT:USDT,short_compression_breakdown,range_market_3y,,,True,1,-7.8467,-0.7847,0.0000,0.7847,0.0000,-3.1485,60.0000,3.4118,1.8840
