enter_tag,rule,terms,blocked_share,bad_capture,loser_capture,winner_kill,quality_score,sample_size
short_compression_breakdown,prev_3h_return <= -0.008 AND prev_6h_return <= -0.01,2,0.20987654320987653,0.23076923076923078,0.22641509433962265,0.17857142857142858,0.0879120879120879,81
short_compression_breakdown,atr_percentile_1h >= 0.4 AND compression_width >= 0.025,2,0.2222222222222222,0.23076923076923078,0.24528301886792453,0.17857142857142858,0.0879120879120879,81
short_compression_breakdown,atr_percentile_1h >= 0.45 AND pullback_depth >= 0.025,2,0.2222222222222222,0.23076923076923078,0.24528301886792453,0.17857142857142858,0.0879120879120879,81
short_compression_breakdown,prev_6h_return <= -0.012 AND atr_percentile_1h >= 0.35,2,0.16049382716049382,0.2,0.16981132075471697,0.14285714285714285,0.08571428571428573,81
short_compression_breakdown,prev_6h_return <= -0.01 AND atr_percentile_1h >= 0.45,2,0.16049382716049382,0.2,0.16981132075471697,0.14285714285714285,0.08571428571428573,81
short_compression_breakdown,atr_percentile_1h >= 0.45 AND compression_width >= 0.025,2,0.18518518518518517,0.2,0.20754716981132076,0.14285714285714285,0.08571428571428573,81
short_compression_breakdown,prev_6h_return <= -0.008 AND pullback_depth >= 0.025,2,0.3333333333333333,0.36923076923076925,0.32075471698113206,0.35714285714285715,0.0835164835164835,81
short_compression_breakdown,atr_percentile_1h >= 0.35 AND pullback_depth >= 0.025,2,0.30864197530864196,0.3076923076923077,0.32075471698113206,0.2857142857142857,0.07912087912087915,81
short_compression_breakdown,atr_percentile_1h >= 0.35 AND compression_width >= 0.025,2,0.25925925925925924,0.27692307692307694,0.2641509433962264,0.25,0.07692307692307693,81
short_compression_breakdown,atr_percentile_1h >= 0.4,1,0.4567901234567901,0.4461538461538462,0.4528301886792453,0.4642857142857143,0.07472527472527474,81
short_compression_breakdown,atr_percentile_1h >= 0.25 AND compression_width >= 0.0275,2,0.2222222222222222,0.24615384615384617,0.22641509433962265,0.21428571428571427,0.07472527472527474,81
short_compression_breakdown,atr_percentile_1h >= 0.45,1,0.4074074074074074,0.4153846153846154,0.39622641509433965,0.42857142857142855,0.07252747252747255,81
short_compression_breakdown,atr_percentile_1h >= 0.25 AND compression_width >= 0.0225,2,0.4074074074074074,0.4153846153846154,0.39622641509433965,0.42857142857142855,0.07252747252747255,81
short_compression_breakdown,atr_percentile_1h >= 0.3 AND pullback_depth >= 0.0225,2,0.4074074074074074,0.4153846153846154,0.39622641509433965,0.42857142857142855,0.07252747252747255,81
short_compression_breakdown,prev_6h_return <= -0.012 AND atr_percentile_1h >= 0.25,2,0.18518518518518517,0.2153846153846154,0.18867924528301888,0.17857142857142858,0.07252747252747252,81
short_compression_breakdown,prev_6h_return <= -0.008 AND compression_width >= 0.0225,2,0.345679012345679,0.38461538461538464,0.32075471698113206,0.39285714285714285,0.07032967032967036,81
short_compression_breakdown,prev_3h_return <= -0.004 AND prev_6h_return <= -0.01,2,0.30864197530864196,0.35384615384615387,0.2830188679245283,0.35714285714285715,0.06813186813186811,81
short_compression_breakdown,prev_6h_return <= -0.01 AND pullback_depth >= 0.0225,2,0.32098765432098764,0.35384615384615387,0.3018867924528302,0.35714285714285715,0.06813186813186811,81
short_compression_breakdown,prev_3h_return <= -0.004 AND compression_width >= 0.025,2,0.30864197530864196,0.3230769230769231,0.3018867924528302,0.32142857142857145,0.06593406593406592,81
short_compression_breakdown,prev_3h_return <= -0.006 AND prev_6h_return <= -0.01,2,0.25925925925925924,0.2923076923076923,0.24528301886792453,0.2857142857142857,0.06373626373626376,81
short_compression_breakdown,compression_width >= 0.0275,1,0.32098765432098764,0.3384615384615385,0.3018867924528302,0.35714285714285715,0.052747252747252726,81
short_compression_breakdown,compression_width >= 0.0275 AND pullback_depth >= 0.02,2,0.32098765432098764,0.3384615384615385,0.3018867924528302,0.35714285714285715,0.052747252747252726,81
short_compression_breakdown,compression_width >= 0.0275 AND pullback_depth >= 0.0225,2,0.32098765432098764,0.3384615384615385,0.3018867924528302,0.35714285714285715,0.052747252747252726,81
short_compression_breakdown,compression_width >= 0.0275 AND pullback_depth >= 0.025,2,0.32098765432098764,0.3384615384615385,0.3018867924528302,0.35714285714285715,0.052747252747252726,81
short_compression_breakdown,prev_6h_return <= -0.01 AND pullback_depth >= 0.025,2,0.2839506172839506,0.3076923076923077,0.2641509433962264,0.32142857142857145,0.050549450549450536,81
short_compression_breakdown,atr_percentile_1h >= 0.4 AND pullback_depth >= 0.0225,2,0.30864197530864196,0.3076923076923077,0.3018867924528302,0.32142857142857145,0.050549450549450536,81
short_compression_breakdown,atr_percentile_1h >= 0.45 AND pullback_depth >= 0.0225,2,0.2716049382716049,0.27692307692307694,0.2641509433962264,0.2857142857142857,0.048351648351648374,81
short_compression_breakdown,atr_percentile_1h >= 0.3 AND compression_width >= 0.0275,2,0.19753086419753085,0.2153846153846154,0.18867924528301888,0.21428571428571427,0.043956043956043966,81
short_compression_breakdown,atr_percentile_1h >= 0.3 AND compression_width >= 0.0225,2,0.345679012345679,0.35384615384615387,0.32075471698113206,0.39285714285714285,0.039560439560439586,81
short_compression_breakdown,atr_percentile_1h >= 0.35 AND pullback_depth >= 0.0225,2,0.35802469135802467,0.35384615384615387,0.33962264150943394,0.39285714285714285,0.039560439560439586,81
short_compression_breakdown,prev_6h_return <= -0.01 AND compression_width >= 0.0225,2,0.2962962962962963,0.3230769230769231,0.2641509433962264,0.35714285714285715,0.03736263736263734,81
short_compression_breakdown,atr_percentile_1h >= 0.35 AND compression_width >= 0.0275,2,0.18518518518518517,0.2,0.16981132075471697,0.21428571428571427,0.02857142857142858,81
short_compression_breakdown,prev_6h_return <= -0.012,1,0.2839506172839506,0.3076923076923077,0.24528301886792453,0.35714285714285715,0.021978021978021955,81
short_compression_breakdown,prev_6h_return <= -0.012 AND compression_width >= 0.02,2,0.2839506172839506,0.3076923076923077,0.24528301886792453,0.35714285714285715,0.021978021978021955,81
short_compression_breakdown,prev_6h_return <= -0.012 AND pullback_depth >= 0.02,2,0.2839506172839506,0.3076923076923077,0.24528301886792453,0.35714285714285715,0.021978021978021955,81
short_compression_breakdown,prev_6h_return <= -0.008 AND compression_width >= 0.025,2,0.2839506172839506,0.3076923076923077,0.24528301886792453,0.35714285714285715,0.021978021978021955,81
short_compression_breakdown,atr_percentile_1h >= 0.4 AND compression_width >= 0.0225,2,0.2839506172839506,0.27692307692307694,0.2641509433962264,0.32142857142857145,0.019780219780219765,81
short_compression_breakdown,atr_percentile_1h >= 0.45 AND compression_width >= 0.0225,2,0.24691358024691357,0.24615384615384617,0.22641509433962265,0.2857142857142857,0.017582417582417603,81
short_compression_breakdown,atr_percentile_1h >= 0.35 AND compression_width >= 0.0225,2,0.32098765432098764,0.3230769230769231,0.2830188679245283,0.39285714285714285,0.008791208791208815,81
short_compression_breakdown,prev_3h_return <= -0.004 AND compression_width >= 0.0275,2,0.2222222222222222,0.23076923076923078,0.18867924528301888,0.2857142857142857,0.0021978021978022177,81
short_compression_breakdown,prev_3h_return <= -0.006 AND prev_6h_return <= -0.012,2,0.18518518518518517,0.2,0.1509433962264151,0.25,0.0,81
