pair,open_date,close_date,profit_pct,profit_abs,exit_reason,mfe_pct,mae_pct,touched_5pct,hours_to_5pct,reached_10pct,hours_open_to_close,post5_extra_mfe_pct,post5_retrace_to_be,post5_retrace_to_lock1,post5_retrace_to_lock2,post5_retrace_to_lock3,post5_retrace_to_lock4,sim_be,sim_lock1,sim_lock2,sim_lock3,sim_lock4
TRX/USDT:USDT,2023-06-14 21:00:00+00:00,2023-06-17 21:05:00+00:00,-2.1855137553823676,-5.08078412,stale_loss_72h,2.054208273894432,2.8815977175463736,False,,False,,,,,,,,,,,,
NEAR/USDT:USDT,2023-07-27 19:00:00+00:00,2023-07-28 03:35:00+00:00,-2.759138096536073,-8.88693201,stop_loss,0.14771048744460868,2.65878877400294,False,,False,,,,,,,,,,,,
ZEC/USDT:USDT,2023-07-30 07:00:00+00:00,2023-08-01 23:50:00+00:00,-1.5875278996304198,-6.57164158,stop_loss,4.760319573901464,1.6311584553928165,False,,False,,,,,,,,,,,,
ETH/USDT:USDT,2023-08-02 15:00:00+00:00,2023-08-07 01:30:00+00:00,-0.034646296825540934,-0.14025046,stale_loss_72h,1.7480105380374298,0.9750400608381566,False,,False,,,,,,,,,,,,
ADA/USDT:USDT,2023-08-06 14:00:00+00:00,2023-08-07 02:50:00+00:00,-1.4517619746207764,-5.23940548,stop_loss,0.5481329222336384,1.438848920863303,False,,False,,,,,,,,,,,,
ZEC/USDT:USDT,2023-08-04 09:00:00+00:00,2023-08-07 09:05:00+00:00,-0.2048495873526497,-0.80378732,stale_loss_72h,2.5187202178352566,1.3955071477195375,False,,False,,,,,,,,,,,,
NEAR/USDT:USDT,2023-08-07 15:00:00+00:00,2023-08-08 12:50:00+00:00,-2.411045248238179,-8.70537732,stop_loss,2.4756189047261756,2.3255813953488476,False,,False,,,,,,,,,,,,
ADA/USDT:USDT,2023-08-15 19:00:00+00:00,2023-08-17 21:40:00+00:00,9.993906770899631,39.97735516,roi,19.22675026123303,0.0,True,17.416666666666668,True,50.666666666666664,14.226750261233025,False,False,False,False,True,reach10_first,reach10_first,reach10_first,reach10_first,stop_first
ETH/USDT:USDT,2023-08-17 15:00:00+00:00,2023-08-17 21:40:00+00:00,9.999793597616883,34.48454896,roi,16.071026944356976,0.05510323422248314,True,6.666666666666667,True,6.666666666666667,11.071026944356976,False,False,False,False,True,reach10_first,reach10_first,reach10_first,reach10_first,ambiguous_same_bar
XRP/USDT:USDT,2023-08-22 14:00:00+00:00,2023-08-22 23:10:00+00:00,-2.1708880181523433,-9.54788121,stop_loss,2.1438316117715863,2.3971935295264037,False,,False,,,,,,,,,,,,
NEAR/USDT:USDT,2023-08-21 11:00:00+00:00,2023-08-23 06:50:00+00:00,-3.4175318485253174,-9.71801667,stop_loss,4.042179261862902,3.163444639718808,False,,False,,,,,,,,,,,,
