rule,terms,selected,coverage,hit_rate_reach10,lift_vs_base,selected_avg_final_profit,rejected_avg_final_profit,base_avg_final_profit,proxy_full_profit_from_reach5,proxy_half_profit_from_reach5
node_close_position <= 0.3 AND node_ret_3h <= -0.015,2,49,0.4049586776859504,0.7142857142857143,0.02833530106257376,0.07065046785392137,0.0649550593986209,0.06726146447556075,0.05836258615572022,0.05418129307786011
node_close_position <= 0.25 AND node_ret_3h <= -0.02,2,39,0.32231404958677684,0.7692307692307693,0.08328035600762873,0.07593748052453266,0.0631350665986107,0.06726146447556075,0.058360014383940284,0.05418000719197014
node_body_ratio >= 0.4 AND node_close_vs_ema20 <= -0.015,2,48,0.39669421487603307,0.7291666666666666,0.04321625344352609,0.07105570050909597,0.06476662434392116,0.06726146447556075,0.05835267458212072,0.05417633729106036
adverse_before_5pct <= 0.0075 AND hours_to_5pct <= 18,2,36,0.2975206611570248,0.8055555555555556,0.11960514233241504,0.07793267412475822,0.0627418933300183,0.06726146447556075,0.05831054767348179,0.054155273836740896
node_close_profit >= 0.05 AND node_close_position <= 0.35,2,38,0.3140495867768595,0.7631578947368421,0.0772074815137016,0.07633119272384041,0.06310905877152911,0.06726146447556075,0.05826930019426394,0.05413465009713196
adverse_before_5pct <= 0.0175 AND node_close_position <= 0.4,2,55,0.45454545454545453,0.6909090909090909,0.0049586776859503745,0.06819215841182967,0.06648588619533663,0.06726146447556075,0.058269162914468035,0.05413458145723402
adverse_before_5pct <= 0.0075 AND hours_to_5pct <= 20,2,38,0.3140495867768595,0.7894736842105263,0.10352327098738578,0.07623600578960606,0.06315263833178097,0.06726146447556075,0.05823940677690108,0.05411970338845054
node_close_profit >= 0.05 AND node_body_ratio >= 0.5,2,47,0.3884297520661157,0.7446808510638298,0.05873043784068921,0.07115175450935028,0.06479060458923498,0.06726146447556075,0.05821597075983028,0.05410798537991514
node_body_ratio >= 0.5 AND node_ret_3h <= -0.02,2,48,0.39669421487603307,0.7291666666666666,0.04321625344352609,0.07064228720114263,0.06503845775189047,0.06726146447556075,0.058188675914502865,0.05409433795725144
node_close_position <= 0.4 AND node_ret_3h <= -0.02,2,50,0.4132231404958678,0.72,0.03404958677685943,0.06979847802802332,0.06547483521326318,0.06726146447556075,0.05818118926777823,0.05409059463388912
node_body_ratio >= 0.5 AND node_close_position <= 0.3,2,48,0.39669421487603307,0.7083333333333334,0.022382920110192828,0.07045210262338475,0.06516351062493676,0.06726146447556075,0.058113230792747675,0.05405661539637384
hours_to_5pct <= 18 AND node_close_profit >= 0.047,2,47,0.3884297520661157,0.7446808510638298,0.05873043784068921,0.0708777109767229,0.06496465926536318,0.06726146447556075,0.0581095240983965,0.054054762049198256
