period,model,group_type,group_value,trades,profit_abs,profit_pct,pf,maxdd_pct,winrate_pct,avg_profit_pct,median_profit_pct,avg_duration_h,median_duration_h,max_duration_h,best_trade_abs,worst_trade_abs,avg_mae_pct,avg_mfe_pct,activated_count,top5_winner_share_pct,exit_reason_distribution
3y,A_giveback50_floor1,pair,ADA/USDT:USDT,32,79.51053690000003,7.951053690000004,1.692870498466084,4.255087065330764,65.625,0.4093663644028421,1.4929403140770843,13.53125,12.0,48.0,23.003259099999987,-22.25873017,1.8312277544303797,3.0290460659923353,21,42.68429839865049,"{""counterfactual_A_giveback50_floor1"": 21, ""stop_loss"": 8, ""trailing_stop_loss"": 3}"
3y,A_giveback50_floor1,pair,BNB/USDT:USDT,19,32.204770450000105,3.2204770450000106,1.3050693933781852,3.6600238159026217,63.1578947368421,0.2753186643449559,1.5782056599559864,29.0,13.0,91.0,31.344687599999894,-22.48258298,1.7633420927766439,3.4962540468727097,12,66.15607430403017,"{""counterfactual_A_giveback50_floor1"": 12, ""stop_loss"": 7}"
3y,A_giveback50_floor1,pair,BTC/USDT:USDT,37,42.40309375000019,4.240309375000019,1.2012370441781064,5.883671119122259,48.64864864864865,0.41488817999946465,-1.3319072265917424,33.86486486486486,19.0,336.0,57.582189599999985,-23.4204542,1.667342923077383,3.436871082757803,18,51.60745767786206,"{""counterfactual_A_giveback50_floor1"": 17, ""max_hold_14d"": 1, ""stop_loss"": 14, ""swing_exit_long_1d"": 1, ""trailing_stop_loss"": 4}"
3y,A_giveback50_floor1,pair,DOGE/USDT:USDT,20,-9.067803279999993,-0.9067803279999993,0.9043894861094919,4.0728777690000015,60.0,0.011027636437631983,1.4529095571130846,10.8,7.0,50.0,14.063965750000007,-23.11526256,1.9520132773109318,2.741943311015876,12,62.0860148965597,"{""counterfactual_A_giveback50_floor1"": 12, ""stop_loss"": 7, ""trailing_stop_loss"": 1}"
3y,A_giveback50_floor1,pair,ETH/USDT:USDT,30,39.19967125000023,3.9199671250000225,1.3420364858771696,4.060952491788298,53.333333333333336,0.20416729577724127,1.447282171828058,22.566666666666666,13.0,108.0,28.702969020000108,-21.11515786,1.5565110953045165,2.698591506749896,16,55.271142207827104,"{""counterfactual_A_giveback50_floor1"": 16, ""stale_loss_72h"": 5, ""stop_loss"": 6, ""trailing_stop_loss"": 3}"
3y,A_giveback50_floor1,pair,LINK/USDT:USDT,20,-75.98391616999994,-7.5983916169999945,0.4942146679032281,8.352937324702825,40.0,-0.9706325429990468,-2.37820286210962,19.9,21.0,67.0,15.929474679999998,-23.48846993,3.1041443810212868,2.8130105421716736,8,78.99768597909214,"{""counterfactual_A_giveback50_floor1"": 8, ""stop_loss"": 8, ""trailing_stop_loss"": 4}"
3y,A_giveback50_floor1,pair,NEAR/USDT:USDT,23,-66.38542468000001,-6.638542468000002,0.558178008037062,7.351497161181894,52.17391304347826,-0.6614724076304949,1.4356058049274416,14.521739130434783,13.0,32.0,13.09259999999998,-19.82609891,2.480693389481449,2.760713467041758,12,59.29135060188846,"{""counterfactual_A_giveback50_floor1"": 12, ""stop_loss"": 8, ""trailing_stop_loss"": 3}"
3y,A_giveback50_floor1,pair,PAXG/USDT:USDT,5,67.54531195000011,6.754531195000012,5.937877424537708,1.3679017550000026,80.0,1.6112964903495877,1.4171783455457498,165.4,166.0,336.0,47.152798079999975,-13.67901755,1.174669588653788,3.301436256966011,4,100.0,"{""counterfactual_A_giveback50_floor1"": 3, ""max_hold_14d"": 1, ""stop_loss"": 1}"
3y,A_giveback50_floor1,pair,SOL/USDT:USDT,25,-82.19902964000005,-8.219902964000005,0.5380477866263618,10.021244968577637,48.0,-0.5791004215099985,-1.4726264836892875,15.36,12.0,60.0,16.767149600000003,-22.51784396,2.298097805419709,2.5724520626050023,12,66.4994083395354,"{""counterfactual_A_giveback50_floor1"": 12, ""stop_loss"": 11, ""trailing_stop_loss"": 2}"
3y,A_giveback50_floor1,pair,SUI/USDT:USDT,19,20.89724884999997,2.089724884999997,1.282402976886482,2.4226426011097093,68.42105263157895,0.49065893642988767,1.9324274948618447,7.842105263157895,4.0,25.0,11.039161140000031,-18.4078471,1.7753654316520369,3.268169753248807,13,50.63516757319808,"{""counterfactual_A_giveback50_floor1"": 13, ""stop_loss"": 5, ""trailing_stop_loss"": 1}"
3y,A_giveback50_floor1,pair,TAO/USDT:USDT,12,36.042306260000124,3.604230626000012,1.7283813822483656,2.08900889357089,66.66666666666666,0.4278903016891772,1.6092308814509517,12.166666666666666,10.0,34.0,27.630910440000054,-15.42980066,2.433676162589096,3.390917675873656,8,77.99510838847448,"{""counterfactual_A_giveback50_floor1"": 8, ""stop_loss"": 2, ""trailing_stop_loss"": 2}"
3y,A_giveback50_floor1,pair,XRP/USDT:USDT,36,105.26697324000008,10.52669732400001,1.68659576007359,3.3932658439999956,58.333333333333336,0.24316375468203832,1.51117421989218,23.75,15.5,83.0,27.81395463000005,-21.81164172,1.816506346588357,3.012324845835295,21,43.80651018283396,"{""counterfactual_A_giveback50_floor1"": 21, ""stale_loss_72h"": 1, ""stop_loss"": 13, ""trailing_stop_loss"": 1}"
3y,A_giveback50_floor1,pair,ZEC/USDT:USDT,13,25.954568179999953,2.5954568179999953,1.6805362008948441,3.2447286117307272,69.23076923076923,0.8501119199740581,1.7605378361475885,21.384615384615383,10.0,73.0,9.370384920000015,-19.33195112,1.6624911331853909,3.84809669553637,9,64.69785953768461,"{""counterfactual_A_giveback50_floor1"": 9, ""stale_loss_72h"": 2, ""stop_loss"": 1, ""trailing_stop_loss"": 1}"
3y,A_giveback50_floor1,side,long,47,172.29022885000072,17.229022885000074,1.7814608765606903,7.309395100763877,55.319148936170215,0.6783714742223991,1.4258089782378418,44.4468085106383,13.0,336.0,57.582189599999985,-19.22016428,1.5350306351468288,3.4806358750960253,26,45.09670503827506,"{""counterfactual_A_giveback50_floor1"": 24, ""max_hold_14d"": 2, ""stop_loss"": 20, ""swing_exit_long_1d"": 1}"
3y,A_giveback50_floor1,side,short,244,43.09807821000006,4.309807821000007,1.035123448876633,16.894033584095055,57.377049180327866,0.005568698673000851,1.4857394313853245,18.081967213114755,12.0,108.0,31.344687599999894,-23.48846993,2.0483234984842387,2.9695063471609826,140,10.606500365961438,"{""counterfactual_A_giveback50_floor1"": 140, ""stale_loss_72h"": 8, ""stop_loss"": 71, ""trailing_stop_loss"": 25}"
3y,A_giveback50_floor1,month,2023-07,2,10.314631119999994,1.0314631119999993,inf,0.0,100.0,1.76334509269559,1.76334509269559,6.0,6.0,12.0,5.355472480000025,4.959158639999969,0.43997288558008985,3.7266901853911767,2,100.0,"{""counterfactual_A_giveback50_floor1"": 2}"
3y,A_giveback50_floor1,month,2023-08,15,18.65947052000002,1.8659470520000019,1.5535235594496133,2.045727985876217,46.666666666666664,0.47263784982225027,-0.14121958828705303,32.8,21.0,108.0,20.65587260000001,-7.92131236,1.418935406947305,3.353488144725002,7,86.91983883148319,"{""counterfactual_A_giveback50_floor1"": 7, ""stale_loss_72h"": 4, ""stop_loss"": 4}"
